shell,sample_kind,sample_index,modulus,identity_holds,contact_identity_lhs_minus_rhs,B,DB,Q,P_factor_check
12,integer,0,,True,0,-453677089290110352,177186445596209088,-25888821216,True
12,integer,1,,True,0,-747199139511074816,944771486071652352,-198873962528,True
12,integer,2,,True,0,-821399575902879744,965037938931597312,-310606246224,True
12,integer,3,,True,0,-792452563317605376,-388174066989262848,100585148652,True
12,integer,4,,True,0,-1132929278936155136,-1177234606377437184,267870863152,True
12,integer,5,,True,0,-1164881470104232848,-390568557133214784,70443671658,True
12,integer,6,,True,0,-563844970509600656,215784952100547648,-37836225840,True
12,integer,7,,True,0,-1851748129737626256,-2043457960298448384,577624684032,True
12,integer,8,,True,0,-821224980401946624,-214317322521477120,51689839680,True
12,integer,9,,True,0,-636885659270122128,-501762339160865856,85401871776,True
12,integer,10,,True,0,-249835014702654464,-354826998070198272,28255977264,True
12,integer,11,,True,0,-785105968662225920,-278628155785463808,42731872848,True
12,integer,12,,True,0,-3828247879671686144,3574658236321880064,-1723195644380,True
12,integer,13,,True,0,-165481805884411280,17697664401408,-18984640,True
12,integer,14,,True,0,-233372697229587728,-7989633220608,8988720,True
12,integer,15,,True,0,-424748878737544208,-509306722039217088,82187116592,True
12,modular,0,1000003,True,0,416747,482783,218574,True
12,modular,1,1000003,True,0,8801,366809,847335,True
12,modular,2,1000003,True,0,620516,729250,185882,True
12,modular,3,1000003,True,0,435011,492394,486481,True
12,modular,4,1000003,True,0,315220,104070,139536,True
12,modular,5,1000003,True,0,465392,269600,480221,True
12,modular,6,1000003,True,0,823191,161266,88733,True
12,modular,7,1000003,True,0,62839,426795,41146,True
12,modular,8,1000003,True,0,307709,245949,233855,True
12,modular,9,1000003,True,0,998118,471261,917268,True
12,modular,10,1000003,True,0,192204,207471,582173,True
12,modular,11,1000003,True,0,976640,247970,76452,True
12,modular,12,1000003,True,0,930541,470821,539688,True
12,modular,13,1000003,True,0,66162,230223,411618,True
12,modular,14,1000003,True,0,63494,631840,463596,True
12,modular,15,1000003,True,0,410590,607525,145110,True
12,modular,16,1000003,True,0,358049,784841,843542,True
12,modular,17,1000003,True,0,536504,99377,231394,True
12,modular,18,1000003,True,0,882783,880804,219301,True
12,modular,19,1000003,True,0,134927,158826,610892,True
12,modular,20,1000003,True,0,402930,277068,460175,True
12,modular,21,1000003,True,0,236115,262064,754726,True
12,modular,22,1000003,True,0,113551,921646,304904,True
12,modular,23,1000003,True,0,785167,647707,365147,True
12,modular,24,1000003,True,0,540184,732821,348678,True
12,modular,25,1000003,True,0,950725,194403,704190,True
12,modular,26,1000003,True,0,144006,669725,791070,True
12,modular,27,1000003,True,0,161226,900229,308746,True
12,modular,28,1000003,True,0,564322,516666,283246,True
12,modular,29,1000003,True,0,237679,317923,875967,True
12,modular,30,1000003,True,0,765630,909934,410458,True
12,modular,31,1000003,True,0,159233,200450,602500,True
12,modular,0,1000033,True,0,650728,822976,331308,True
12,modular,1,1000033,True,0,954141,119516,869354,True
12,modular,2,1000033,True,0,581037,880917,198566,True
