observable_id,observable_code,value
0,0,37
1,1,37
2,2,37
3,3,37
4,4,0
5,5,1
6,6,20
7,7,1
8,8,0
9,9,-374784
10,10,11
11,11,2048
12,12,2048
13,13,2047
14,14,3
15,15,256
16,16,297
17,17,0
18,18,304
19,19,1011
20,20,1
21,21,985
22,22,76703
23,23,7
24,24,52
25,25,0
26,26,6
27,27,512
28,28,47
29,29,2048
30,30,6
31,31,239
32,32,238
33,33,1
34,34,288
35,35,1065984
36,36,1
37,37,1
38,38,40
39,39,0
40,40,945
41,41,0
42,42,3
43,43,20
44,44,20
45,45,10
46,46,40
47,47,1
48,48,238
49,49,0
50,50,241
51,51,3
52,52,0
53,53,40
54,54,3
55,55,25
56,56,0
57,57,12
58,58,6
59,59,0
60,60,3
61,61,1
62,62,0
