grammar_cell_id,component_id,word_length,word_symbol_0_id,word_symbol_1_id,word_symbol_2_id,word_symbol_3_id,word_symbol_4_id,word_symbol_5_id,word_symbol_6_id,word_symbol_7_id,word_symbol_8_id,word_symbol_9_id,word_symbol_10_id,word_symbol_11_id,word_symbol_12_id,word_symbol_13_id,word_symbol_14_id,word_symbol_15_id,left_edit_radius,right_edit_radius,trace_node_count,trace_node_0_id,trace_node_1_id,trace_node_2_id,trace_node_3_id,trace_node_4_id,trace_node_5_id,trace_node_6_id,trace_node_7_id,trace_node_8_id,trace_node_9_id,trace_node_10_id,trace_node_11_id,trace_node_12_id,trace_node_13_id,trace_node_14_id,trace_node_15_id,trace_node_16_id,trace_node_17_id,trace_node_18_id,trace_node_19_id,metric_gromov_delta_twice,trace_signature_total_variation,native_repair_flag,derived_repair_flag,derived_only_flag,first_derived_span_rank,first_derived_block_symbol_0_id,first_derived_block_symbol_1_id,first_derived_block_symbol_2_id,first_derived_block_symbol_3_id,first_return_closed_path_count,normalized_tail_template_count,template_lift_count_min,template_lift_count_max,all_four_lift_flag,tail_entry_9_path_count,tail_entry_10_path_count,tail_entry_11_path_count,tail_entry_13_path_count,left_boundary_flag,right_boundary_flag,gate_word_flag
0,0,16,2,1,1,3,4,5,2,1,1,2,5,5,2,1,4,5,3,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,1408,9,64,184,0,552,64,240,552,0,0,0
1,0,15,2,1,1,3,4,5,2,1,1,5,5,2,1,4,5,-1,3,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,392,7,56,56,0,168,56,0,168,0,0,0
2,0,15,2,1,1,3,4,5,2,1,2,1,5,2,1,4,5,-1,3,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,32,2,16,16,0,0,0,32,0,0,0,0
3,0,16,2,1,1,3,4,5,2,1,2,1,5,5,2,1,4,5,3,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,112,7,16,16,0,48,16,0,48,0,0,0
4,0,15,2,1,1,3,4,5,2,1,2,2,5,2,1,4,5,-1,3,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,176,3,48,64,0,0,48,128,0,0,0,0
5,0,16,2,1,1,3,4,5,2,1,2,2,5,5,2,1,4,5,3,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,832,9,48,112,0,336,64,96,336,0,0,0
6,0,15,2,1,1,3,4,5,2,1,2,5,1,2,1,4,5,-1,3,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,24,1,24,24,0,0,0,24,0,0,0,0
7,0,14,2,1,1,3,4,5,2,1,2,5,2,1,4,5,-1,-1,3,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,40,3,8,24,0,0,24,16,0,0,0,0
8,0,15,2,1,1,3,4,5,2,1,2,5,2,2,1,4,5,-1,3,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,152,9,8,24,0,0,32,120,0,0,0,0
9,0,16,2,1,1,3,4,5,2,1,2,5,2,5,2,1,4,5,3,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,40,3,8,24,0,0,24,16,0,0,0,0
10,0,15,2,1,1,3,4,5,2,1,2,5,5,1,1,4,5,-1,3,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,144,6,8,32,0,64,16,0,64,0,0,0
11,0,16,2,1,1,3,4,5,2,1,2,5,5,1,2,1,4,5,3,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,72,1,72,72,0,0,0,72,0,0,0,0
12,0,14,2,1,1,3,4,5,2,1,2,5,5,1,4,5,-1,-1,3,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,72,5,8,24,0,0,48,24,0,0,0,0
13,0,16,2,1,1,3,4,5,2,1,2,5,5,2,1,1,4,5,3,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,496,6,72,88,0,0,352,144,0,0,0,0
14,0,15,2,1,1,3,4,5,2,1,2,5,5,2,1,1,5,-1,3,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,584,21,8,32,0,224,16,120,224,0,0,0
15,0,15,2,1,1,3,4,5,2,1,2,5,5,2,1,2,5,-1,3,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,336,12,8,32,0,128,8,72,128,0,0,0
16,0,16,2,1,1,3,4,5,2,1,2,5,5,2,1,3,4,5,3,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,496,6,72,88,0,0,352,144,0,0,0,0
17,0,15,2,1,1,3,4,5,2,1,2,5,5,2,1,4,3,-1,3,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,496,18,8,32,0,192,16,96,192,0,0,0
