observable_id,observable_code,value_x1e12,aux_id
0,0,6000000000000,-1
1,1,1296000000000000,-1
2,2,1800000000000000,-1
3,3,1170000000000000,-1
4,4,556000000000000,-1
5,5,32000000000000,-1
6,6,32000000000000,-1
7,7,16000000000000,-1
8,8,16000000000000,-1
9,9,4000000000000,-1
10,10,234678000000000000,-1
11,11,68103000000000000,-1
12,12,140378000000000000,-1
13,13,26197000000000000,-1
14,14,11637000000000000,-1
15,15,20744000000000000,-1
16,16,562000000000000,-1
17,17,846000000000000,-1
18,18,846000000000000,-1
19,19,284000000000000,-1
20,20,422000000000000,-1
21,21,2549000000000000,-1
22,22,22000000000000,-1
23,23,787000000000000,-1
24,24,532000000000000,-1
25,25,255000000000000,-1
26,26,1000000000000,-1
27,27,2000000000000,-1
28,28,0,-1
29,29,1000000000000,-1
30,30,30000000000000,-1
31,31,9000000000000,-1
