path_step,grammar_cell_id,word_length,word_symbol_0_id,word_symbol_1_id,word_symbol_2_id,word_symbol_3_id,word_symbol_4_id,word_symbol_5_id,word_symbol_6_id,word_symbol_7_id,word_symbol_8_id,word_symbol_9_id,word_symbol_10_id,word_symbol_11_id,word_symbol_12_id,word_symbol_13_id,word_symbol_14_id,word_symbol_15_id,native_repair_flag,derived_repair_flag,derived_only_flag,trace_signature_total_variation,first_return_closed_path_count,normalized_tail_template_count
0,332,13,2,1,3,4,5,1,2,5,5,2,1,4,5,-1,-1,-1,1,1,0,195,60,9
1,811,12,2,1,4,5,1,2,5,5,2,1,4,5,-1,-1,-1,-1,0,1,1,185,30,9
2,626,12,2,1,4,3,1,2,5,5,2,1,4,5,-1,-1,-1,-1,1,1,0,215,92,9
