repair_split_id,block_symbol_0_id,block_symbol_1_id,block_symbol_2_id,block_symbol_3_id,split_index_code,source_node_id,inserted_node_id,target_node_id,split_first_symbol_id,split_second_symbol_id,split_third_symbol_id,repair_31_28_flag,repair_50_34_flag,variation_preserving_flag,direct_variation,split_variation,source_to_insert_edge_flag,insert_to_target_edge_flag
0,1,2,4,3,2,28,31,41,1,4,3,1,0,0,2,34,1,1
1,1,3,4,2,2,31,28,41,1,4,2,1,0,0,16,20,1,1
2,1,3,4,5,2,31,34,50,1,4,5,0,1,0,5,57,1,1
3,1,3,5,4,2,32,34,50,1,5,4,0,1,0,29,33,1,1
4,1,4,2,3,1,28,31,41,1,4,3,1,0,0,2,34,1,1
5,1,4,3,2,1,31,28,41,1,4,2,1,0,0,16,20,1,1
6,1,4,3,5,1,31,34,50,1,4,5,0,1,0,5,57,1,1
7,1,5,3,4,1,32,34,50,1,5,4,0,1,0,29,33,1,1
8,2,1,3,4,1,27,28,31,2,1,4,1,0,0,5,41,1,1
9,2,3,1,4,2,27,28,31,2,1,4,1,0,0,5,41,1,1
10,2,3,4,1,2,41,28,31,2,4,1,1,0,0,16,20,1,1
11,2,4,3,1,1,41,28,31,2,4,1,1,0,0,16,20,1,1
12,3,1,2,4,1,27,31,28,3,1,4,1,0,1,23,23,1,1
13,3,1,4,5,2,31,50,34,3,4,5,0,1,0,26,36,1,1
14,3,1,5,4,2,32,50,34,3,5,4,0,1,0,2,60,1,1
15,3,2,1,4,2,27,31,28,3,1,4,1,0,1,23,23,1,1
16,3,2,4,1,2,41,31,28,3,4,1,1,0,0,2,34,1,1
17,3,4,1,5,1,31,50,34,3,4,5,0,1,0,26,36,1,1
18,3,4,2,1,1,41,31,28,3,4,1,1,0,0,2,34,1,1
19,3,5,1,4,1,32,50,34,3,5,4,0,1,0,2,60,1,1
20,4,1,2,3,1,28,31,27,4,1,3,1,0,1,23,23,1,1
21,4,1,3,2,1,31,28,27,4,1,2,1,0,0,5,41,1,1
22,4,1,5,3,2,34,50,32,4,5,3,0,1,0,2,60,1,1
23,4,2,1,3,2,28,31,27,4,1,3,1,0,1,23,23,1,1
24,4,3,1,2,2,31,28,27,4,1,2,1,0,0,5,41,1,1
25,4,3,5,1,2,50,34,32,4,5,1,0,1,0,29,33,1,1
26,4,5,1,3,1,34,50,32,4,5,3,0,1,0,2,60,1,1
27,4,5,3,1,1,50,34,32,4,5,1,0,1,0,29,33,1,1
28,5,1,4,3,2,34,50,31,5,4,3,0,1,0,26,36,1,1
29,5,3,4,1,2,50,34,31,5,4,1,0,1,0,5,57,1,1
30,5,4,1,3,1,34,50,31,5,4,3,0,1,0,26,36,1,1
31,5,4,3,1,1,50,34,31,5,4,1,0,1,0,5,57,1,1
