k23_basis_row_id,target_source_mask,reconstructed_source_mask,residual_nonzero_count,residual_mod_sum
0,204095,204095,0,0
1,255,255,0,0
2,14945289,14945289,0,0
3,3945,3945,0,0
4,13071,13071,0,0
5,21845,21845,0,0
6,38451,38451,0,0
7,333604,333604,0,0
8,591182,591182,0,0
9,1119352,1119352,0,0
10,2164253,2164253,0,0
11,4260666,4260666,0,0
12,0,0,0,0
13,0,0,0,0
14,0,0,0,0
15,0,0,0,0
16,0,0,0,0
17,0,0,0,0
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
