entry_id,support_row_id,source_coordinate,coefficient_mod,coefficient_signed,binary_binding_entry,support_match_flag,residue_parity
0,0,0,1000002,-1,1,1,0
1,0,1,1000002,-1,1,1,0
2,0,2,1000002,-1,1,1,0
3,0,3,1000002,-1,1,1,0
4,0,4,1000002,-1,1,1,0
5,0,5,1000002,-1,1,1,0
6,0,6,1000002,-1,1,1,0
7,0,7,1000002,-1,1,1,0
8,2,0,1000002,-1,1,1,0
9,2,1,1000002,-1,1,1,0
10,2,2,1000002,-1,1,1,0
11,2,3,1000002,-1,1,1,0
12,2,4,1000002,-1,1,1,0
13,2,5,1000002,-1,1,1,0
14,2,8,1000002,-1,1,1,0
15,2,10,1000002,-1,1,1,0
16,2,11,1000002,-1,1,1,0
17,2,12,1000002,-1,1,1,0
18,2,16,1000002,-1,1,1,0
19,2,17,1000002,-1,1,1,0
20,12,0,1000001,-2,1,1,1
21,12,2,1000001,-2,1,1,1
22,12,4,1000001,-2,1,1,1
23,12,6,1000001,-2,1,1,1
24,12,8,1000001,-2,1,1,1
25,12,10,1000001,-2,1,1,1
26,12,12,1000001,-2,1,1,1
27,12,14,1000001,-2,1,1,1
28,16,0,1000002,-1,1,1,0
29,16,2,1000002,-1,1,1,0
30,16,4,1000002,-1,1,1,0
31,16,6,1000002,-1,1,1,0
32,16,8,1000002,-1,1,1,0
33,16,10,1000002,-1,1,1,0
34,16,12,1000002,-1,1,1,0
35,16,14,1000002,-1,1,1,0
36,17,1,1000002,-1,1,1,0
37,17,3,1000002,-1,1,1,0
38,17,4,1000002,-1,1,1,0
39,17,5,1000002,-1,1,1,0
40,17,8,1000002,-1,1,1,0
41,17,9,1000002,-1,1,1,0
42,17,16,1000002,-1,1,1,0
43,17,22,1000002,-1,1,1,0
44,19,0,1,1,1,1,1
45,19,1,1000002,-1,1,1,0
46,19,4,1000002,-1,1,1,0
47,19,5,1000002,-1,1,1,0
48,19,8,1000002,-1,1,1,0
49,19,9,1000002,-1,1,1,0
50,19,10,1,1,1,1,1
51,19,11,1,1,1,1,1
52,19,16,1000002,-1,1,1,0
53,19,18,1,1,1,1,1
54,19,21,1,1,1,1,1
55,19,23,1,1,1,1,1
56,20,2,1000002,-1,1,1,0
57,20,3,1,1,1,1,1
58,20,4,1000002,-1,1,1,0
59,20,5,1,1,1,1,1
60,20,9,1,1,1,1,1
61,20,11,1,1,1,1,1
62,20,12,1000002,-1,1,1,0
63,20,14,1000002,-1,1,1,0
64,23,1,1,1,1,1,1
65,23,3,1,1,1,1,1
66,23,4,1000002,-1,1,1,0
67,23,6,1000002,-1,1,1,0
68,23,9,1,1,1,1,1
69,23,10,1000002,-1,1,1,0
70,23,13,1,1,1,1,1
71,23,14,1000002,-1,1,1,0
72,28,0,1,1,1,1,1
73,28,3,1000002,-1,1,1,0
74,28,8,1000002,-1,1,1,0
75,28,10,1,1,1,1,1
76,28,12,1,1,1,1,1
77,28,15,1,1,1,1,1
78,28,16,1000002,-1,1,1,0
79,28,22,1000002,-1,1,1,0
80,34,2,1,1,1,1,1
81,34,5,1,1,1,1,1
82,34,8,1,1,1,1,1
83,34,9,1,1,1,1,1
84,34,10,1,1,1,1,1
85,34,12,1,1,1,1,1
86,34,16,1,1,1,1,1
87,34,18,1,1,1,1,1
88,36,1,1,1,1,1,1
89,36,2,1,1,1,1,1
90,36,3,1,1,1,1,1
91,36,6,1,1,1,1,1
92,36,8,1,1,1,1,1
93,36,10,1,1,1,1,1
94,36,16,1,1,1,1,1
95,36,19,1,1,1,1,1
96,37,3,1,1,1,1,1
97,37,4,1,1,1,1,1
98,37,5,1,1,1,1,1
99,37,6,1,1,1,1,1
100,37,10,1,1,1,1,1
101,37,12,1,1,1,1,1
102,37,16,1,1,1,1,1
103,37,20,1,1,1,1,1
104,39,0,1,1,1,1,1
105,39,2,1,1,1,1,1
106,39,3,1,1,1,1,1
107,39,4,1,1,1,1,1
108,39,9,1,1,1,1,1
109,39,10,1,1,1,1,1
110,39,16,1,1,1,1,1
111,39,21,1,1,1,1,1
