,B-,B+,V-,V+,S-,S+
B-,3420.3431964576607,3420.343196457661,1318.0140567536882,1318.0140567536882,1318.014056753688,1318.014056753688
B+,3420.3431964576607,3420.3431964576607,1318.0140567536882,1318.0140567536882,1318.014056753688,1318.014056753688
V-,1318.0140567536885,1318.0140567536885,3420.34319645766,3420.343196457661,1318.014056753688,1318.0140567536882
V+,1318.0140567536885,1318.0140567536885,3420.3431964576607,3420.34319645766,1318.014056753688,1318.0140567536882
S-,1318.014056753688,1318.014056753688,1318.014056753688,1318.014056753688,3420.343196457661,3420.343196457661
S+,1318.014056753688,1318.014056753688,1318.014056753688,1318.014056753688,3420.3431964576625,3420.343196457661
