operator_id,null_point,operator_kind,pair3_descent_energy_fraction,pair3_breaking_energy_fraction
R_full,001,raw,0.9999999999999989,1.1102230246251565e-15
R_full,001,normalized,0.9999999999999989,1.1102230246251565e-15
R_full,010,raw,0.9928864953436843,0.007113504656315661
R_full,010,normalized,0.9935526370391357,0.006447362960864345
R_full,011,raw,0.9928864953436846,0.007113504656315439
R_full,011,normalized,0.9935526370391358,0.0064473629608642335
R_full,100,raw,0.21272652693802557,0.7872734730619744
R_full,100,normalized,0.212521651286276,0.787478348713724
R_full,101,raw,0.21272652693802507,0.7872734730619749
R_full,101,normalized,0.21252165128627637,0.7874783487137236
R_full,110,raw,0.212726526938025,0.787273473061975
R_full,110,normalized,0.21252165128627634,0.7874783487137237
R_full,111,raw,0.21272652693802502,0.787273473061975
R_full,111,normalized,0.21252165128627643,0.7874783487137236
