,B-,B+,V-,V+,S-,S+
B-,130505.34223468574,130398.49316229827,55426.39185935034,55426.39185935034,55426.39185935032,55426.391859350326
B+,130398.49316229827,130505.34223468574,55426.39185935035,55426.39185935034,55426.391859350326,55426.391859350326
V-,55426.39185935034,55426.391859350326,130505.34223468574,130398.49316229827,55426.391859350326,55426.391859350326
V+,55426.391859350326,55426.391859350326,130398.49316229828,130505.34223468574,55426.39185935034,55426.391859350326
S-,55426.39185935032,55426.391859350326,55426.39185935032,55426.39185935032,130505.34223468573,130398.49316229823
S+,55426.391859350326,55426.391859350326,55426.39185935032,55426.39185935032,130398.49316229824,130505.34223468573
