operator_id,null_point,operator_kind,cycle_name,cycle_type,edges,curl_value
R_full,001,raw,star,fano_star,"B-,V-,S-",-4.9112713895738125e-11
R_full,001,raw,star,fano_star,"B-,V+,S+",-4.3655745685100555e-11
R_full,001,raw,star,fano_star,"B+,V-,S+",4.129105946049094e-10
R_full,001,raw,star,fano_star,"B+,V+,S-",4.18367562815547e-10
R_full,001,raw,face_123,tetra_face,"B-,V-,S+",-4.9112713895738125e-11
R_full,001,raw,face_124,tetra_face,"B-,V+,S-",-4.3655745685100555e-11
R_full,001,raw,face_134,tetra_face,"B+,V-,S-",4.129105946049094e-10
R_full,001,raw,face_234,tetra_face,"B+,V+,S+",4.18367562815547e-10
R_full,001,normalized,star,fano_star,"B-,V-,S-",-5.684341886080802e-14
R_full,001,normalized,star,fano_star,"B-,V+,S+",0.0
R_full,001,normalized,star,fano_star,"B+,V-,S+",2.4272139853565022e-11
R_full,001,normalized,star,fano_star,"B+,V+,S-",2.432898327242583e-11
R_full,001,normalized,face_123,tetra_face,"B-,V-,S+",-5.684341886080802e-14
R_full,001,normalized,face_124,tetra_face,"B-,V+,S-",0.0
R_full,001,normalized,face_134,tetra_face,"B+,V-,S-",2.4272139853565022e-11
R_full,001,normalized,face_234,tetra_face,"B+,V+,S+",2.432898327242583e-11
R_full,010,raw,star,fano_star,"B-,V-,S-",-5.877609510207549e-11
R_full,010,raw,star,fano_star,"B-,V+,S+",-6.548361852765083e-11
R_full,010,raw,star,fano_star,"B+,V-,S+",-5.446167961054016e-09
R_full,010,raw,star,fano_star,"B+,V+,S-",-5.39512257091701e-09
R_full,010,raw,face_123,tetra_face,"B-,V-,S+",-5.877609510207549e-11
R_full,010,raw,face_124,tetra_face,"B-,V+,S-",-6.548361852765083e-11
R_full,010,raw,face_134,tetra_face,"B+,V-,S-",-5.446167961054016e-09
R_full,010,raw,face_234,tetra_face,"B+,V+,S+",-5.39512257091701e-09
R_full,010,normalized,star,fano_star,"B-,V-,S-",1.4574652595911175e-10
R_full,010,normalized,star,fano_star,"B-,V+,S+",1.6007106751203537e-10
R_full,010,normalized,star,fano_star,"B+,V-,S+",-1.6054855223046616e-09
R_full,010,normalized,star,fano_star,"B+,V+,S-",-1.786247594282031e-09
R_full,010,normalized,face_123,tetra_face,"B-,V-,S+",1.4574652595911175e-10
R_full,010,normalized,face_124,tetra_face,"B-,V+,S-",1.6007106751203537e-10
R_full,010,normalized,face_134,tetra_face,"B+,V-,S-",-1.6054855223046616e-09
R_full,010,normalized,face_234,tetra_face,"B+,V+,S+",-1.786247594282031e-09
R_full,011,raw,star,fano_star,"B-,V-,S-",-5.820766091346741e-11
R_full,011,raw,star,fano_star,"B-,V+,S+",-5.843503458891064e-11
R_full,011,raw,star,fano_star,"B+,V-,S+",-7.639755494892597e-09
R_full,011,raw,star,fano_star,"B+,V+,S-",-7.50276285543805e-09
R_full,011,raw,face_123,tetra_face,"B-,V-,S+",-5.820766091346741e-11
R_full,011,raw,face_124,tetra_face,"B-,V+,S-",-5.843503458891064e-11
R_full,011,raw,face_134,tetra_face,"B+,V-,S-",-7.639755494892597e-09
R_full,011,raw,face_234,tetra_face,"B+,V+,S+",-7.50276285543805e-09
R_full,011,normalized,star,fano_star,"B-,V-,S-",1.3096723705530167e-10
R_full,011,normalized,star,fano_star,"B-,V+,S+",1.1664269550237805e-10
R_full,011,normalized,star,fano_star,"B+,V-,S+",-2.4901964934542775e-09
R_full,011,normalized,star,fano_star,"B+,V+,S-",-2.247588781756349e-09
R_full,011,normalized,face_123,tetra_face,"B-,V-,S+",1.3096723705530167e-10
R_full,011,normalized,face_124,tetra_face,"B-,V+,S-",1.1664269550237805e-10
R_full,011,normalized,face_134,tetra_face,"B+,V-,S-",-2.4901964934542775e-09
R_full,011,normalized,face_234,tetra_face,"B+,V+,S+",-2.247588781756349e-09
R_full,100,raw,star,fano_star,"B-,V-,S-",-2.7284841053187847e-11
R_full,100,raw,star,fano_star,"B-,V+,S+",9.094947017729282e-11
R_full,100,raw,star,fano_star,"B+,V-,S+",-1.0796838978421874e-09
R_full,100,raw,star,fano_star,"B+,V+,S-",1.0331859812140465e-09
R_full,100,raw,face_123,tetra_face,"B-,V-,S+",13060.667024771536
R_full,100,raw,face_124,tetra_face,"B-,V+,S-",-2.725073500187136e-10
R_full,100,raw,face_134,tetra_face,"B+,V-,S-",-13060.667024771245
R_full,100,raw,face_234,tetra_face,"B+,V+,S+",0.0
R_full,100,normalized,star,fano_star,"B-,V-,S-",-3.906848178303335e-10
R_full,100,normalized,star,fano_star,"B-,V+,S+",-3.2741809263825417e-11
R_full,100,normalized,star,fano_star,"B+,V-,S+",-3.178683982696384e-10
R_full,100,normalized,star,fano_star,"B+,V+,S-",3.5288394428789616e-10
R_full,100,normalized,face_123,tetra_face,"B-,V-,S+",13188.172356133422
R_full,100,normalized,face_124,tetra_face,"B-,V+,S-",-6.363222837535432e-09
R_full,100,normalized,face_134,tetra_face,"B+,V-,S-",-13188.172356127447
