case,null_point,cycle_name,cycle_type,edges,curl_value
best_normalized,011,star,fano_star,"B-,V-,S-",1.3096723705530167e-10
best_normalized,011,star,fano_star,"B-,V+,S+",1.1664269550237805e-10
best_normalized,011,star,fano_star,"B+,V-,S+",-2.4901964934542775e-09
best_normalized,011,star,fano_star,"B+,V+,S-",-2.247588781756349e-09
best_normalized,011,face_123,tetra_face,"B-,V-,S+",1.3096723705530167e-10
best_normalized,011,face_124,tetra_face,"B-,V+,S-",1.1664269550237805e-10
best_normalized,011,face_134,tetra_face,"B+,V-,S-",-2.4901964934542775e-09
best_normalized,011,face_234,tetra_face,"B+,V+,S+",-2.247588781756349e-09
best_normalized,011,opposite_B-_B+,opposite_pair,"B-,B+",-2.371962182223797e-09
best_normalized,011,opposite_V-_V+,opposite_pair,"V-,V+",1227.0057643812788
best_normalized,011,opposite_S-_S+,opposite_pair,"S-,S+",0.0
