,B-,B+,V-,V+,S-,S+
B-,130505.34223468498,7.579122514774402e-14,-2.3684757858670007e-14,0.0,0.0,0.0
B+,7.579122514774402e-14,130505.34223468439,-2.3684757858670007e-14,0.0,0.0,0.0
V-,-9.414691248821327e-14,-9.414691248821327e-14,130505.34223468519,0.0,0.0,0.0
V+,0.0,0.0,0.0,130505.34223468516,0.0,0.0
S-,0.0,0.0,0.0,0.0,130505.3422346844,0.0
S+,0.0,0.0,0.0,0.0,0.0,130505.34223468525
