,B-,B+,V-,V+,S-,S+
B-,1691.9377888190588,5112.280985276749,-197.27260673134427,-197.27260673134487,5112.28098527672,5112.28098527672
B+,5112.280985276706,1691.9377888190734,-197.27260673134376,-197.27260673134435,5112.280985276706,5112.280985276706
V-,-960.9662082843136,-960.966208284319,-3383.875577638125,36.46761881953581,-960.9662082843137,-960.9662082843137
V+,-960.9662082843128,-960.9662082843182,36.46761881953567,-3383.875577638125,-960.9662082843129,-960.9662082843129
S-,5112.28098527672,5112.280985276749,-197.27260673134427,-197.27260673134487,1691.9377888190588,5112.28098527672
S+,5112.28098527672,5112.280985276749,-197.27260673134427,-197.27260673134487,5112.28098527672,1691.9377888190588
