,1,B-∧B+,B-∧V-,B-∧V+,B-∧S-,B-∧S+,B+∧V-,B+∧V+,B+∧S-,B+∧S+,V-∧V+,V-∧S-,V-∧S+,V+∧S-,V+∧S+,S-∧S+
1,3420.3431964576607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B-∧B+,0.0,-3.725290298461914e-09,-1.1641532182693481e-10,-1.1641532182693481e-10,0.0,0.0,-2.3283064365386963e-10,-2.3283064365386963e-10,3.725290298461914e-09,3.725290298461914e-09,0.0,1.1641532182693481e-10,1.1641532182693481e-10,1.1641532182693481e-10,1.1641532182693481e-10,0.0
B-∧V-,0.0,0.0,-3139.594619550655,-3139.594619550684,-9.313225746154785e-10,-9.313225746154785e-10,-3139.594619550655,-3139.594619550684,-9.313225746154785e-10,-9.313225746154785e-10,0.0,3139.594619550684,3139.594619550684,3139.594619550684,3139.594619550684,0.0
B-∧V+,0.0,0.0,-3139.594619550626,-3139.594619550655,-9.313225746154785e-10,-9.313225746154785e-10,-3139.594619550626,-3139.594619550655,-9.313225746154785e-10,-9.313225746154785e-10,9.094947017729282e-13,3139.594619550655,3139.594619550655,3139.594619550684,3139.594619550684,0.0
B-∧S-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B-∧S+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B+∧V-,0.0,-9.313225746154785e-10,-3139.594619550655,-3139.594619550684,-9.313225746154785e-10,-9.313225746154785e-10,-3139.594619550684,-3139.594619550742,0.0,0.0,9.094947017729282e-13,3139.594619550684,3139.594619550684,3139.594619550684,3139.594619550684,0.0
B+∧V+,0.0,-9.313225746154785e-10,-3139.594619550655,-3139.594619550655,0.0,0.0,-3139.594619550684,-3139.594619550713,0.0,0.0,9.094947017729282e-13,3139.594619550655,3139.594619550655,3139.594619550684,3139.594619550684,0.0
B+∧S-,0.0,3.725290298461914e-09,1.1641532182693481e-10,1.1641532182693481e-10,0.0,0.0,2.3283064365386963e-10,2.3283064365386963e-10,-3.725290298461914e-09,-3.725290298461914e-09,0.0,-1.1641532182693481e-10,-1.1641532182693481e-10,-1.1641532182693481e-10,-1.1641532182693481e-10,0.0
B+∧S+,0.0,3.725290298461914e-09,1.1641532182693481e-10,1.1641532182693481e-10,0.0,0.0,2.3283064365386963e-10,2.3283064365386963e-10,-3.725290298461914e-09,-3.725290298461914e-09,0.0,-1.1641532182693481e-10,-1.1641532182693481e-10,-1.1641532182693481e-10,-1.1641532182693481e-10,0.0
V-∧V+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.275957614183426e-12,7.275957614183426e-12,7.275957614183426e-12,7.275957614183426e-12,0.0
V-∧S-,0.0,0.0,3139.594619550655,3139.594619550684,9.313225746154785e-10,9.313225746154785e-10,3139.594619550655,3139.594619550684,9.313225746154785e-10,9.313225746154785e-10,0.0,-3139.594619550684,-3139.594619550684,-3139.594619550684,-3139.594619550684,0.0
V-∧S+,0.0,0.0,3139.594619550655,3139.594619550684,9.313225746154785e-10,9.313225746154785e-10,3139.594619550655,3139.594619550684,9.313225746154785e-10,9.313225746154785e-10,0.0,-3139.594619550684,-3139.594619550684,-3139.594619550684,-3139.594619550684,0.0
V+∧S-,0.0,0.0,3139.594619550626,3139.594619550655,9.313225746154785e-10,9.313225746154785e-10,3139.594619550626,3139.594619550655,9.313225746154785e-10,9.313225746154785e-10,-9.094947017729282e-13,-3139.594619550655,-3139.594619550655,-3139.594619550684,-3139.594619550684,0.0
V+∧S+,0.0,0.0,3139.594619550626,3139.594619550655,9.313225746154785e-10,9.313225746154785e-10,3139.594619550626,3139.594619550655,9.313225746154785e-10,9.313225746154785e-10,-9.094947017729282e-13,-3139.594619550655,-3139.594619550655,-3139.594619550684,-3139.594619550684,0.0
S-∧S+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
