,B-,B+,V-,V+,S-,S+
B-,203370.38742557843,-15694.92048789114,93817.36675479104,93817.36675479104,93817.366754791,93817.36675479104
B+,-15694.920487891146,203370.3874255784,93817.36675479102,93817.36675479104,93817.36675479102,93817.36675479104
V-,93817.36675479104,93817.36675479102,203370.3874255784,-15694.920487891142,93817.36675479102,93817.36675479104
V+,93817.36675479102,93817.36675479104,-15694.920487891142,203370.3874255784,93817.36675479102,93817.36675479104
S-,93817.36675479106,93817.36675479106,93817.36675479107,93817.36675479107,203370.3874255784,-15694.92048789114
S+,93817.36675479102,93817.36675479102,93817.36675479104,93817.36675479104,-15694.920487891135,203370.3874255784
