,B-,B+,V-,V+,S-,S+
B-,203370.38742557738,9.473903143468002e-15,1.5158245029548803e-13,0.0,0.0,0.0
B+,0.0,203370.38742557773,1.5158245029548803e-13,0.0,0.0,0.0
V-,1.5158245029548803e-13,1.5631940186722204e-13,203370.387425578,0.0,0.0,0.0
V+,0.0,0.0,0.0,203370.38742557753,0.0,0.0
S-,0.0,0.0,0.0,0.0,203370.38742558096,0.0
S+,0.0,0.0,0.0,0.0,0.0,203370.3874255781
