component_id,node_count,edge_count,min_cut_weight,min_cut_side_size,min_cut_other_size,min_cut_side_basis_sum,min_cut_side_basis_square_sum,external_boundary,ambient_degree,external_conductance_reduced_num,external_conductance_reduced_den
0,33,61,2,1,32,138,19044,1342,3024,671,1512
1,1,0,0,1,0,7,49,864,864,1,1
2,17,30,2,1,16,174,30276,2378,11954,1189,5977
