component_id,node_count,finite_pair_count,resistance_min_num_digits,resistance_min_den_digits,resistance_min_num_mod_1000000007,resistance_min_den_mod_1000000007,resistance_min_num_mod_1000000009,resistance_min_den_mod_1000000009,resistance_max_num_digits,resistance_max_den_digits,resistance_max_num_mod_1000000007,resistance_max_den_mod_1000000007,resistance_max_num_mod_1000000009,resistance_max_den_mod_1000000009,resistance_sum_num_digits,resistance_sum_den_digits,resistance_sum_num_mod_1000000007,resistance_sum_den_mod_1000000007,resistance_sum_num_mod_1000000009,resistance_sum_den_mod_1000000009,kirchhoff_num_digits,kirchhoff_den_digits,kirchhoff_num_mod_1000000007,kirchhoff_den_mod_1000000007,kirchhoff_num_mod_1000000009,kirchhoff_den_mod_1000000009
0,33,528,3,5,141,19573,141,19573,32,32,74778270,50600542,944642900,194096809,35,32,478495428,126501355,974559166,985242027,35,31,435486277,647863764,923677480,89567457
1,1,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1
2,17,136,1,3,1,733,1,733,19,19,694977886,708430503,978618580,762351957,24,22,630476625,279555066,839635543,803979459,25,22,718102555,279555066,273804105,803979459
