pair_id,component_id,left_basis_id,right_basis_id,resistance_num,resistance_den
0,0,1,5,152390483,1332580915
1,0,1,14,15278673154,137255834245
2,0,1,19,39514587740218,2686508443677385
3,0,1,20,2276800391,137255834245
4,0,1,21,56213346841,137255834245
5,0,1,30,353403588136191,5373016887354770
6,0,1,31,998903344652,5078465867065
7,0,1,32,1030067701,137255834245
8,0,1,33,52210158,1332580915
9,0,1,34,39803756699,137255834245
10,0,1,35,58797055347,274511668490
11,0,1,36,11904737593,27451166849
12,0,1,44,3354798409,54902333698
13,0,1,47,881619296420283713347,2099920471272215353210
14,0,1,50,176422373280434822743,2099920471272215353210
15,0,1,54,93699376256459650547,419984094254443070642
16,0,1,59,2409130918323749,21492067549419080
17,0,1,60,44862857226021717785,419984094254443070642
18,0,1,61,803985504362380811777,2099920471272215353210
19,0,1,66,12461720879649199,75222236422966780
20,0,1,67,33953788429068279,75222236422966780
21,0,1,70,54343862667089815947,419984094254443070642
22,0,1,71,776195913763721301487,2099920471272215353210
23,0,1,72,89749287253680439969,419984094254443070642
24,0,1,73,212491243339445842625,419984094254443070642
25,0,1,89,315597750022386611627,2099920471272215353210
26,0,1,103,7993110736128613132399,46198250367988737770620
27,0,1,121,463815656378441435385718617,2369184873621566439090705460
28,0,1,122,574414267759406473608582897,2369184873621566439090705460
29,0,1,136,528043823912773414178999677,2369184873621566439090705460
30,0,1,137,743525063151900520433290617,2369184873621566439090705460
31,0,1,138,1748009421062137101349174857,2369184873621566439090705460
32,0,5,14,4862436969,27451166849
33,0,5,19,335794104606777,2686508443677385
34,0,5,20,13879267836,137255834245
35,0,5,21,66855988186,137255834245
36,0,5,30,945962621869309,5373016887354770
37,0,5,31,1558978045723,5078465867065
38,0,5,32,16167221784,137255834245
39,0,5,33,165546407,1332580915
40,0,5,34,10286216062,27451166849
41,0,5,35,81944702873,274511668490
42,0,5,36,70815632864,137255834245
43,0,5,44,40092731223,274511668490
44,0,5,47,1059999683795050026909,2099920471272215353210
45,0,5,50,70960552131040227261,419984094254443070642
46,0,5,54,646877268657064566297,2099920471272215353210
47,0,5,59,4779367053256221,21492067549419080
48,0,5,60,402694673504874902487,2099920471272215353210
49,0,5,61,982365891737147125339,2099920471272215353210
50,0,5,66,20757547351912851,75222236422966780
51,0,5,67,42249614901331931,75222236422966780
52,0,5,70,450099700710215393297,2099920471272215353210
53,0,5,71,954576301138487615049,2099920471272215353210
54,0,5,72,627126823643168513407,2099920471272215353210
55,0,5,73,1240836604071995526687,2099920471272215353210
56,0,5,89,493978137397152925189,2099920471272215353210
57,0,5,103,11917479258373472030763,46198250367988737770620
58,0,5,121,665069047304724534270519629,2369184873621566439090705460
59,0,5,122,775667658685689572493383909,2369184873621566439090705460
60,0,5,136,729297214839056513063800689,2369184873621566439090705460
61,0,5,137,944778454078183619318091629,2369184873621566439090705460
62,0,5,138,1949262811988420200233975869,2369184873621566439090705460
63,0,14,19,326498258907072,2686508443677385
64,0,14,20,13046756761,137255834245
65,0,14,21,57114038211,137255834245
66,0,14,30,927370930469899,5373016887354770
67,0,14,31,1541405558578,5078465867065
68,0,14,32,15692289699,137255834245
69,0,14,33,16126510856,137255834245
70,0,14,34,10073276453,27451166849
71,0,14,35,78991228303,274511668490
72,0,14,36,66734478859,137255834245
73,0,14,44,38043181713,274511668490
74,0,14,47,1044321330315180658119,2099920471272215353210
75,0,14,50,67824881435066353503,419984094254443070642
76,0,14,54,631198915177195197507,2099920471272215353210
77,0,14,59,4705000287658581,21492067549419080
78,0,14,60,387016320025005533697,2099920471272215353210
79,0,14,61,966687538257277756549,2099920471272215353210
80,0,14,66,20497263672321111,75222236422966780
81,0,14,67,41989331221740191,75222236422966780
82,0,14,70,434421347230346024507,2099920471272215353210
83,0,14,71,938897947658618246259,2099920471272215353210
84,0,14,72,611448470163299144617,2099920471272215353210
85,0,14,73,1225158250592126157897,2099920471272215353210
86,0,14,89,478299783917283556399,2099920471272215353210
87,0,14,103,11572555481816345917383,46198250367988737770620
88,0,14,121,647380321271545435798053089,2369184873621566439090705460
89,0,14,122,757978932652510474020917369,2369184873621566439090705460
90,0,14,136,711608488805877414591334149,2369184873621566439090705460
91,0,14,137,927089728045004520845625089,2369184873621566439090705460
92,0,14,138,1931574085955241101761509329,2369184873621566439090705460
93,0,19,20,71908386252037,2686508443677385
94,0,19,21,1127527374370477,2686508443677385
95,0,19,30,2013,39146
96,0,19,31,3614,19573
97,0,19,32,141,19573
98,0,19,33,131947224312928,2686508443677385
99,0,19,34,806019763573307,2686508443677385
100,0,19,35,240971135073471,1074603377470954
101,0,19,36,1192054393030873,2686508443677385
102,0,19,44,381752852884661,5373016887354770
103,0,19,47,3532939571373698627032007,8220348676842214221675866
104,0,19,50,3861878480252230799367943,41101743384211071108379330
105,0,19,54,9578652825372703714601359,41101743384211071108379330
106,0,19,59,29,296
107,0,19,60,4799266890458895424848229,41101743384211071108379330
108,0,19,61,3229034328983831928546085,8220348676842214221675866
109,0,19,66,157,1036
110,0,19,67,453,1036
111,0,19,70,5727125487949024851472359,41101743384211071108379330
112,0,19,71,3120249197626319409564851,8220348676842214221675866
113,0,19,72,9192077365115716271385389,41101743384211071108379330
114,0,19,73,21204218897449147402314829,41101743384211071108379330
115,0,19,89,1317191625844490632638895,8220348676842214221675866
116,0,19,103,33088390106999901028893623,180847670890528712876869052
117,0,19,121,1907888260391815563535171148529,9274411106278983982464475593716
118,0,19,122,2340837584503741302162395659017,9274411106278983982464475593716
119,0,19,136,2159315845021711527719349186005,9274411106278983982464475593716
120,0,19,137,3002838704147198497862396499729,9274411106278983982464475593716
121,0,19,138,6934993171622610617515716945633,9274411106278983982464475593716
122,0,20,21,10794084390,27451166849
123,0,20,30,418191185159829,5373016887354770
124,0,20,31,1060139258663,5078465867065
125,0,20,32,2685092404,137255834245
126,0,20,33,3192440109,137255834245
127,0,20,34,37583942866,137255834245
128,0,20,35,54340062833,274511668490
129,0,20,36,57303630076,137255834245
130,0,20,44,12396487007,274511668490
131,0,20,47,169626575709221510369,419984094254443070642
132,0,20,50,142935955406258661241,2099920471272215353210
133,0,20,54,435010463408122091233,2099920471272215353210
134,0,20,59,2668281306418301,21492067549419080
135,0,20,60,190827868255932427423,2099920471272215353210
136,0,20,61,154099817297640930055,419984094254443070642
137,0,20,66,13368747237980131,75222236422966780
138,0,20,67,34860814787399211,75222236422966780
139,0,20,70,238232895461272918233,2099920471272215353210
140,0,20,71,148541899177909027997,419984094254443070642
141,0,20,72,415260018394226038343,2099920471272215353210
142,0,20,73,1028969798823053051623,2099920471272215353210
143,0,20,89,56422266429642090025,419984094254443070642
144,0,20,103,1451281908579347515871,9239650073597747554124
145,0,20,121,85207081817186232279792633,473836974724313287818141092
146,0,20,122,107326804093379239924365489,473836974724313287818141092
147,0,20,136,98052715324052628038448845,473836974724313287818141092
148,0,20,137,141148963171878049289307033,473836974724313287818141092
149,0,20,138,342045834753925365472483881,473836974724313287818141092
150,0,21,30,2529429161396709,5373016887354770
151,0,21,31,3055638291023,5078465867065
152,0,21,32,56617498684,137255834245
153,0,21,33,55943743929,137255834245
154,0,21,34,88679004226,137255834245
155,0,21,35,146568973793,274511668490
156,0,21,36,71866329316,137255834245
157,0,21,44,115484615387,274511668490
158,0,21,47,327344367685839165773,419984094254443070642
159,0,21,50,931524915289346938261,2099920471272215353210
160,0,21,54,1223599423291210368253,2099920471272215353210
161,0,21,59,11113233211365821,21492067549419080
162,0,21,60,979416828139020704443,2099920471272215353210
163,0,21,61,311817609274258585459,419984094254443070642
164,0,21,66,42926078905296451,75222236422966780
165,0,21,67,64418146454715531,75222236422966780
166,0,21,70,1026821855344361195253,2099920471272215353210
167,0,21,71,306259691154526683401,419984094254443070642
168,0,21,72,1203848978277314315363,2099920471272215353210
169,0,21,73,1817558758706141328643,2099920471272215353210
170,0,21,89,214140058406259745429,419984094254443070642
171,0,21,103,4921073332064935934759,9239650073597747554124
172,0,21,121,263148395387797663165625937,473836974724313287818141092
173,0,21,122,285268117663990670810198793,473836974724313287818141092
174,0,21,136,275994028894664058924282149,473836974724313287818141092
175,0,21,137,319090276742489480175140337,473836974724313287818141092
176,0,21,138,519987148324536796358317185,473836974724313287818141092
177,0,30,31,7295,39146
178,0,30,32,2281,39146
179,0,30,33,538268861281611,5373016887354770
