sample,word,final_equal,internal_scatter_l1,final_terms,final_hash
78,"(773, 347, 229, 276)",True,280,30,75fe0b76081de05ed1fd7b7a5adb81d91c23581436df0a734b856f139def20cf
79,"(75, 486, 720, 44)",True,3552,12,21f5262b24097caa1132cc8979a09111a10674eb975e959d90d741168e0d124a
80,"(672, 876, 622, 648)",True,1546,40,a1b26d7ac196a9e00ab173ba87f4da49f1265439656dc49c0421c5e5ea1b1c79
81,"(78, 637, 647, 691)",True,1620,32,77c1d753d247added84a4d8961ef45769fef417f35deaa580ec95e964ffcfbd7
82,"(595, 463, 560, 135)",True,1058,44,48c62427c8c6625e8a676bf9c0d29c77e482211616c5aa0e26adf76d8979f006
83,"(880, 596, 429, 521)",True,1788,82,3f7b217e3e176147349e4a51c00711d054d232ea130ecbc8795312b61888ed07
84,"(39, 139, 130, 803)",True,4824,24,570abc2460b82e7a2edbd1df8ab28f7ededcb6ab0f9f5c95239d1cf77823ec7c
85,"(216, 55, 411, 516)",True,3464,20,31e1681a69e56a33066b278843d98c710d0871f3021212a932275a0742a984a1
86,"(934, 849, 633, 557)",True,1534,16,40c60313bd228959aad93b31dea441d165b90e6c7a7e96a8011f905631650e3d
87,"(741, 147, 106, 588)",True,1020,64,0517fd02e744121de3e5e150eef7ee9d76c1a1b9b1c15da9079fa6658dd7ea7b
88,"(677, 775, 359, 302)",True,824,30,07ef7fabe0bc573c4643da432c5c392d01d8217f2ce273a92b1b4e4639f94e8b
89,"(86, 550, 51, 235)",True,1624,8,113abc2bce0cc12fde07493fc1b8ea317f5a67b97ad457f1817db1bf7b724ccc
90,"(930, 932, 908, 839)",True,312,22,4d91306d4739d580bad9980d7ff2ad3279713f027bf15c0ccbf6eede9a6eb859
91,"(361, 388, 317, 161)",True,880,12,d5604a029add432ed972eb80d0159a3a0bfbefb16a72e52bd7ef2cfb9b741301
92,"(500, 802, 490, 866)",True,3360,32,a3f70fe2ae848342481d0d238672bba7f1828da45e17b427fb143c19bd2d3ac3
93,"(778, 383, 450, 696)",True,1144,103,01cd100b2fcb416cc01c3d4ac5cc4d6cd736462c054039c94a7979bde389aa1e
94,"(350, 434, 293, 137)",True,472,32,d53b233fec8e93f178cb7a3d087dfdc13df116b5aa3df112edb24a8c3d017692
95,"(981, 751, 142, 115)",True,5394,64,d74bd15316d82286af8b4c033f3b77206bea8b8f031fbd5429fe3db1773bcbfe
96,"(904, 809, 427, 393)",True,2552,8,ded9ebfad847d7669a95d9480063c11a0ffe5acef90b716b74916bea775f1351
97,"(510, 732, 66, 298)",True,4764,24,b70d77b9a8bb75c7f95b1e32ca197abc72b0d2637859e827941e087973121116
98,"(846, 597, 410, 311)",True,2476,32,50b2c30a73604423c0ff3f52024589f50937967b57d74f5c990d1339e7628c3d
99,"(198, 747, 145, 2)",True,1888,12,6ebda5caf3e96106895879f4af30c4e4950db5b535cf3c943c24c92c8c6f0471
