shell,support_size,subset_count,profile,gap_coefficients,positive_quotient_coefficients,min_positive_quotient_coefficient,quotient_zero_coefficient_count,positive_quotient_nonnegative,first_division_remainder,second_division_remainder
12,0,1,"2576,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0",0,11,True,0,0
12,1,24,"1288,1288,0,0,0,0,0,0,0,0,0,0,0","135199816976,-246140633088,99480117408,0,10813056240,0,626843840,0,20440560,0,355488,0,2576","135199816976,24259000864,12798302160,1337603456,689960992,42318528,21519904,721280,363216,5152,2576",2576,0,True,0,0
12,2,276,"616,1344,616,0,0,0,0,0,0,0,0,0,0","174347199488,-256842399744,41589639168,0,36206607360,0,4388679680,0,299228160,0,10881024,0,164864","174347199488,91851999232,50946438144,10040877056,5341923328,642969600,332695552,22421504,11375616,329728,164864",164864,0,True,0,0
12,3,2024,"280,1008,1008,280,0,0,0,0,0,0,0,0,0","167424694416,-192631799808,-3260204640,-53508833280,67632712560,0,12882421440,0,1380259440,0,78871968,0,1877904","167424694416,142217589024,113750278992,31774135680,17430704928,3087274176,1626264864,165255552,84505680,3755808,1877904",1877904,0,True,0,0
12,4,10626,"120,640,1056,640,120,0,0,0,0,0,0,0,0","141931642880,-122305904640,-3967942656,-122305904640,75986042880,0,26378240000,0,3956736000,0,316538880,0,10551296","141931642880,161557381120,177215176704,70567067648,39905001472,9242935296,4959109120,675282944,348192768,21102592,10551296",10551296,0,True,0,0
12,5,42504,"48,360,880,880,360,48,0,0,0,0,0,0,0","112017246608,-68797071360,23182311840,-168170618880,57093014640,-9172942848,44171960000,0,8718150000,0,917700000,0,40250000","112017246608,155237421856,221639908944,119871777152,75196660000,21348600000,11672500000,1996400000,1038450000,80500000,40250000",40250000,0,True,0,0
12,6,21252,"16,192,600,960,600,192,16,0,0,0,0,0,0","84557841408,-36691771392,60569192448,-183458856960,31364029440,-36691771392,61842714624,0,16225090560,0,2163345408,0,120185856","84557841408,132423911424,240859173888,165835579392,122176014336,41824677888,23316056064,4807434240,2523902976,240371712,120185856",120185856,0,True,0,0
12,6,113344,"18,180,630,920,630,180,18,0,0,0,0,0,0","84175635456,-34398535680,54836103168,-175814737920,25630940160,-34398535680,61460508672,0,16225090560,0,2163345408,0,120185856","84175635456,133952735232,238565938176,167364403200,121793808384,41824677888,23316056064,4807434240,2523902976,240371712,120185856",120185856,0,True,0,0
12,7,6072,"0,112,336,840,840,336,112,0,0,0,0,0,0","62178377744,-21403533312,89406568608,-160526499840,-2391179280,-64210599936,65415858368,0,26811870960,0,4416072864,0,303063824","62178377744,102953222176,233134635216,202789548416,170053282336,73106416320,41575408672,10044401024,5325264336,606127648,303063824",303063824,0,True,0,0
12,7,340032,"6,82,390,810,810,390,82,6,0,0,0,0,0","61031759888,-15670444032,79087007904,-154793410560,3341910000,-74530160640,71148947648,-1146617856,26811870960,0,4416072864,0,303063824","61031759888,106393075744,230841399504,200496312704,173493135904,71959798464,41575408672,10044401024,5325264336,606127648,303063824",303063824,0,True,0,0
