source_sector,raw_sector,block_dimension,solution_name,variable,value_mod_1000003,perennial_id,coordinate_fingerprint_id
0,32,10,source_fixture,"g[0,0]",12,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,source_fixture,"g[0,1]",35,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,source_fixture,"g[0,2]",34,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,source_fixture,"g[0,3]",32,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,source_fixture,"g[0,4]",0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,source_fixture,"g[0,5]",26,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,source_fixture,"g[0,6]",5,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,source_fixture,"g[0,7]",15,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,source_fixture,"g[0,8]",34,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,source_fixture,"g[0,9]",18,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,source_fixture,"g[1,0]",11,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,source_fixture,"g[1,1]",9,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,source_fixture,"g[1,2]",10,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,source_fixture,"g[1,3]",30,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,source_fixture,"g[1,4]",6,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,source_fixture,"g[1,5]",6,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,source_fixture,"g[1,6]",7,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,source_fixture,"g[1,7]",6,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,source_fixture,"g[1,8]",11,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,source_fixture,"g[1,9]",5,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,source_fixture,"g[2,0]",11,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,source_fixture,"g[2,1]",4,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,source_fixture,"g[2,2]",39,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,source_fixture,"g[2,3]",12,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,source_fixture,"g[2,4]",26,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,source_fixture,"g[2,5]",14,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,source_fixture,"g[2,6]",34,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,source_fixture,"g[2,7]",22,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,source_fixture,"g[2,8]",5,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,source_fixture,"g[2,9]",6,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,source_fixture,"g[3,0]",20,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,source_fixture,"g[3,1]",25,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,source_fixture,"g[3,2]",14,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,source_fixture,"g[3,3]",31,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,source_fixture,"g[3,4]",14,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,source_fixture,"g[3,5]",6,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,source_fixture,"g[3,6]",22,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,source_fixture,"g[3,7]",34,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
