source_sector,raw_sector,block_dimension,target_i,target_j,max_residual_mod_1000003,nonzero_residual_count,perennial_id,coordinate_fingerprint_id
0,32,10,4,9,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,5,0,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,5,1,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,5,2,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,5,3,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,5,4,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,5,5,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,5,6,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,5,7,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,5,8,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,5,9,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,6,0,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,6,1,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,6,2,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,6,3,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,6,4,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,6,5,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,6,6,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,6,7,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,6,8,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,6,9,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,7,0,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,7,1,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,7,2,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,7,3,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,7,4,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,7,5,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,7,6,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,7,7,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,7,8,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,7,9,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,8,0,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,8,1,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,8,2,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,8,3,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,8,4,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,8,5,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,8,6,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,8,7,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,8,8,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,8,9,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,9,0,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,9,1,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,9,2,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,9,3,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,9,4,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,9,5,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,9,6,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,9,7,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,9,8,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,9,9,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
1,25,6,0,0,0,0,a985pf.9dbed46bb0c6344488e1f811,a985coord.2eb070838c4af1b46e838430
1,25,6,0,1,0,0,a985pf.9dbed46bb0c6344488e1f811,a985coord.2eb070838c4af1b46e838430
1,25,6,0,2,0,0,a985pf.9dbed46bb0c6344488e1f811,a985coord.2eb070838c4af1b46e838430
1,25,6,0,3,0,0,a985pf.9dbed46bb0c6344488e1f811,a985coord.2eb070838c4af1b46e838430
1,25,6,0,4,0,0,a985pf.9dbed46bb0c6344488e1f811,a985coord.2eb070838c4af1b46e838430
1,25,6,0,5,0,0,a985pf.9dbed46bb0c6344488e1f811,a985coord.2eb070838c4af1b46e838430
1,25,6,1,0,0,0,a985pf.9dbed46bb0c6344488e1f811,a985coord.2eb070838c4af1b46e838430
1,25,6,1,1,0,0,a985pf.9dbed46bb0c6344488e1f811,a985coord.2eb070838c4af1b46e838430
1,25,6,1,2,0,0,a985pf.9dbed46bb0c6344488e1f811,a985coord.2eb070838c4af1b46e838430
1,25,6,1,3,0,0,a985pf.9dbed46bb0c6344488e1f811,a985coord.2eb070838c4af1b46e838430
1,25,6,1,4,0,0,a985pf.9dbed46bb0c6344488e1f811,a985coord.2eb070838c4af1b46e838430
1,25,6,1,5,0,0,a985pf.9dbed46bb0c6344488e1f811,a985coord.2eb070838c4af1b46e838430
1,25,6,2,0,0,0,a985pf.9dbed46bb0c6344488e1f811,a985coord.2eb070838c4af1b46e838430
1,25,6,2,1,0,0,a985pf.9dbed46bb0c6344488e1f811,a985coord.2eb070838c4af1b46e838430
1,25,6,2,2,0,0,a985pf.9dbed46bb0c6344488e1f811,a985coord.2eb070838c4af1b46e838430
1,25,6,2,3,0,0,a985pf.9dbed46bb0c6344488e1f811,a985coord.2eb070838c4af1b46e838430
1,25,6,2,4,0,0,a985pf.9dbed46bb0c6344488e1f811,a985coord.2eb070838c4af1b46e838430
1,25,6,2,5,0,0,a985pf.9dbed46bb0c6344488e1f811,a985coord.2eb070838c4af1b46e838430
1,25,6,3,0,0,0,a985pf.9dbed46bb0c6344488e1f811,a985coord.2eb070838c4af1b46e838430
1,25,6,3,1,0,0,a985pf.9dbed46bb0c6344488e1f811,a985coord.2eb070838c4af1b46e838430
1,25,6,3,2,0,0,a985pf.9dbed46bb0c6344488e1f811,a985coord.2eb070838c4af1b46e838430
1,25,6,3,3,0,0,a985pf.9dbed46bb0c6344488e1f811,a985coord.2eb070838c4af1b46e838430
1,25,6,3,4,0,0,a985pf.9dbed46bb0c6344488e1f811,a985coord.2eb070838c4af1b46e838430
1,25,6,3,5,0,0,a985pf.9dbed46bb0c6344488e1f811,a985coord.2eb070838c4af1b46e838430
1,25,6,4,0,0,0,a985pf.9dbed46bb0c6344488e1f811,a985coord.2eb070838c4af1b46e838430
1,25,6,4,1,0,0,a985pf.9dbed46bb0c6344488e1f811,a985coord.2eb070838c4af1b46e838430
1,25,6,4,2,0,0,a985pf.9dbed46bb0c6344488e1f811,a985coord.2eb070838c4af1b46e838430
1,25,6,4,3,0,0,a985pf.9dbed46bb0c6344488e1f811,a985coord.2eb070838c4af1b46e838430
1,25,6,4,4,0,0,a985pf.9dbed46bb0c6344488e1f811,a985coord.2eb070838c4af1b46e838430
1,25,6,4,5,0,0,a985pf.9dbed46bb0c6344488e1f811,a985coord.2eb070838c4af1b46e838430
1,25,6,5,0,0,0,a985pf.9dbed46bb0c6344488e1f811,a985coord.2eb070838c4af1b46e838430
1,25,6,5,1,0,0,a985pf.9dbed46bb0c6344488e1f811,a985coord.2eb070838c4af1b46e838430
1,25,6,5,2,0,0,a985pf.9dbed46bb0c6344488e1f811,a985coord.2eb070838c4af1b46e838430
1,25,6,5,3,0,0,a985pf.9dbed46bb0c6344488e1f811,a985coord.2eb070838c4af1b46e838430
1,25,6,5,4,0,0,a985pf.9dbed46bb0c6344488e1f811,a985coord.2eb070838c4af1b46e838430
1,25,6,5,5,0,0,a985pf.9dbed46bb0c6344488e1f811,a985coord.2eb070838c4af1b46e838430
2,23,4,0,0,0,0,a985pf.d7101280a84ba80e5b49b132,a985coord.5f9548ae161854b677064635
2,23,4,0,1,0,0,a985pf.d7101280a84ba80e5b49b132,a985coord.5f9548ae161854b677064635
2,23,4,0,2,0,0,a985pf.d7101280a84ba80e5b49b132,a985coord.5f9548ae161854b677064635
2,23,4,0,3,0,0,a985pf.d7101280a84ba80e5b49b132,a985coord.5f9548ae161854b677064635
2,23,4,1,0,0,0,a985pf.d7101280a84ba80e5b49b132,a985coord.5f9548ae161854b677064635
2,23,4,1,1,0,0,a985pf.d7101280a84ba80e5b49b132,a985coord.5f9548ae161854b677064635
2,23,4,1,2,0,0,a985pf.d7101280a84ba80e5b49b132,a985coord.5f9548ae161854b677064635
2,23,4,1,3,0,0,a985pf.d7101280a84ba80e5b49b132,a985coord.5f9548ae161854b677064635
2,23,4,2,0,0,0,a985pf.d7101280a84ba80e5b49b132,a985coord.5f9548ae161854b677064635
2,23,4,2,1,0,0,a985pf.d7101280a84ba80e5b49b132,a985coord.5f9548ae161854b677064635
2,23,4,2,2,0,0,a985pf.d7101280a84ba80e5b49b132,a985coord.5f9548ae161854b677064635
2,23,4,2,3,0,0,a985pf.d7101280a84ba80e5b49b132,a985coord.5f9548ae161854b677064635
2,23,4,3,0,0,0,a985pf.d7101280a84ba80e5b49b132,a985coord.5f9548ae161854b677064635
2,23,4,3,1,0,0,a985pf.d7101280a84ba80e5b49b132,a985coord.5f9548ae161854b677064635
2,23,4,3,2,0,0,a985pf.d7101280a84ba80e5b49b132,a985coord.5f9548ae161854b677064635
2,23,4,3,3,0,0,a985pf.d7101280a84ba80e5b49b132,a985coord.5f9548ae161854b677064635
3,12,5,0,0,0,0,a985pf.733ef39d0f9f629ef9f672a0,a985coord.d3e86b7aee25cc6088ffe61a
3,12,5,0,1,0,0,a985pf.733ef39d0f9f629ef9f672a0,a985coord.d3e86b7aee25cc6088ffe61a
3,12,5,0,2,0,0,a985pf.733ef39d0f9f629ef9f672a0,a985coord.d3e86b7aee25cc6088ffe61a
3,12,5,0,3,0,0,a985pf.733ef39d0f9f629ef9f672a0,a985coord.d3e86b7aee25cc6088ffe61a
