interval_id,source_node_id,target_node_id,graph_distance,interval_node_count,shortest_path_count,min_sector_coverage_count,max_sector_coverage_count,full_sector_preserved,min_signature_union_count,max_signature_union_count,high_signature_threshold,high_signature_preserved,full_high_preserved,min_tensor_path_coefficient_mass_sum,max_tensor_path_coefficient_mass_sum,endpoint_poincare_distance_x1e10,interval_poincare_diameter_x1e10
0,0,0,0,1,1,3,3,0,69,69,155,0,0,96768,96768,0,0
1,0,1,1,2,1,3,4,0,69,90,155,0,0,96768,97536,297076190,297076190
2,0,2,1,2,1,3,4,0,69,117,155,0,0,96768,148224,2058410182,2058410182
3,0,3,1,2,1,3,5,0,69,112,155,0,0,75136,96768,626412847,626412847
4,0,4,1,2,1,3,5,0,69,117,155,0,0,84096,96768,1996535421,1996535421
5,0,5,1,2,1,3,5,0,69,146,155,0,0,96768,229888,2509641633,2509641633
6,0,6,2,3,1,3,4,0,69,90,155,0,0,96768,98304,593355414,593355414
7,0,7,2,4,2,3,5,0,69,138,155,0,0,96768,148992,2214258512,2214258512
8,0,8,2,4,2,3,5,0,69,126,155,0,0,75136,97536,830882443,830882443
9,0,9,2,4,2,3,5,0,69,131,155,0,0,84096,97536,1980895317,2048218797
10,0,10,2,4,2,3,6,0,69,167,155,0,0,96768,230656,2659739389,2659739389
11,0,11,2,3,1,3,4,0,69,117,155,0,0,96768,199680,4067096829,4067096829
12,0,12,2,4,2,3,5,0,69,142,155,0,0,75136,148224,2663059042,2663059042
13,0,13,2,4,2,3,6,0,69,165,155,0,0,84096,148224,3811670832,3811670832
14,0,14,2,4,2,3,5,0,69,168,155,0,0,96768,281344,4512957771,4512957771
15,0,15,2,3,1,3,5,0,69,112,155,0,0,53504,96768,1245521642,1245521642
16,0,16,2,4,2,3,6,0,69,147,155,0,0,62464,96768,2482755425,2482755425
17,0,17,2,4,2,3,6,0,69,171,155,0,0,75136,229888,3111104301,3111104301
18,0,18,2,3,1,3,5,0,69,117,155,0,0,71424,96768,3959935829,3959935829
