shell,profile_id,status,support_size,sympy_seconds,free_parameter_count,nnls_linf,nnls_nonzero,exact_residual_zero,all_coefficients_nonnegative,min_coefficient
12,0,EXACT_ZERO_GAP_PASS,0,0.0,0,0.0,0,True,True,0
12,1,EXACT_RATIONAL_PASS,11,0.013985872268676758,0,1.3877787807814457e-17,11,True,True,2576
12,3190,EXACT_RATIONAL_PASS,11,0.007174968719482422,0,4.440892098500626e-16,11,True,True,1368992016
12,4610,EXACT_RATIONAL_PASS,11,0.007159709930419922,0,6.938893903907228e-18,11,True,True,2576
12,4611,EXACT_ZERO_GAP_PASS,0,0.0,0,0.0,0,True,True,0
16,0,EXACT_ZERO_GAP_PASS,0,0.0,0,0.0,0,True,True,0
16,1,NO_SOLUTION,13,0.015813350677490234,,,,,,
16,3190,EXACT_RATIONAL_PASS,15,0.014588356018066406,0,6.661338147750939e-16,15,True,True,32672461239
16,4610,NO_SOLUTION,13,0.007991790771484375,,,,,,
16,4611,EXACT_ZERO_GAP_PASS,0,0.0,0,0.0,0,True,True,0
