active_transition_id,transition_id,direct_covered_flag,contact_covered_flag,mixed_covered_flag,direct_best_candidate_id,direct_best_raw_match_count,contact_best_candidate_id,contact_best_raw_match_count,mixed_obstruction_flag
0,0,1,0,1,28,1,108,0,0
1,1,1,0,1,25,1,108,0,0
2,2,1,1,1,8,1,110,1,0
3,3,1,1,1,11,1,142,1,0
4,4,1,1,1,8,1,110,1,0
5,7,1,1,1,28,1,110,1,0
6,9,1,0,1,8,1,108,0,0
7,10,1,1,1,6,1,144,1,0
8,12,1,0,1,8,1,108,0,0
9,13,1,1,1,8,1,110,1,0
10,15,0,1,1,0,0,142,1,0
11,16,1,1,1,8,1,110,1,0
12,17,1,1,1,8,1,146,1,0
13,19,1,1,1,6,1,110,1,0
14,21,1,1,1,8,1,110,1,0
15,24,0,0,0,0,0,108,0,1
16,26,1,0,1,9,1,108,0,0
17,35,1,1,1,8,1,108,1,0
18,37,1,0,1,6,1,108,0,0
19,38,0,0,0,0,0,108,0,1
20,39,1,1,1,8,1,110,1,0
21,40,0,0,0,0,0,108,0,1
22,42,1,0,1,8,1,108,0,0
23,43,1,1,1,8,1,110,1,0
24,44,1,0,1,9,1,108,0,0
25,49,1,1,1,6,1,110,1,0
26,53,1,1,1,11,1,142,1,0
27,63,1,1,1,11,1,142,1,0
28,65,1,1,1,11,1,142,1,0
