source_state_id,target_state_id,source_nodal_sign,target_nodal_sign,transition_probability_x1e12,stationary_flow_twice_x1e12,is_crossing
0,0,1,1,809168073437,1013251765029,0
0,1,1,-1,190831926563,238962451389,1
1,0,-1,1,319560035288,238962451389,1
1,1,-1,-1,680439964712,508823332193,0
