state_id,nodal_sign,signature_vertex_count,carrier_mask_class_count,stationary_mass_x1e12,self_transition_probability_x1e12,exit_transition_probability_x1e12,self_flow_twice_x1e12,exit_flow_twice_x1e12,within_signature_edge_count,crossing_signature_edge_count,within_mask_edge_count,crossing_mask_edge_count
0,1,121,7,626107108209,809168073437,190831926563,1013251765029,238962451389,5968,4007,14,16
1,-1,100,7,373892891791,680439964712,319560035288,508823332193,238962451389,3060,4007,14,16
