basin_code,core_stationary_mass_x1e12,induced_participation_mass_x1e12,induced_minus_core_x1e12,abs_induced_minus_core_x1e12,positive_side_mass_x1e12,negative_side_mass_x1e12,positive_fraction_x1e12,positive_side_composition_x1e12,negative_side_composition_x1e12
10,121358270826,200037326277,78679055451,78679055451,137019671513,63017654765,684970520566,218843820356,168544671878
43,488349486805,406767255209,-81582231596,81582231596,253849052271,152918202937,624064619314,405440297583,408989329016
0,390292242370,393195418514,2903176144,2903176144,235238384425,157957034089,598273462377,375715882061,422465999106
