selected_order,feature_id,feature_family_code,object_filter,feature_value,support_count,rank_after_addition
0,2,1,-1,1,6,29
1,3,1,-1,3,14,30
2,4,1,-1,6,24,31
3,7,2,-1,164063,36,32
4,10,3,-1,-1,28,33
