edge_basis_id,edge_code,vertex_u,vertex_v,eta6_coeff,holonomy_coeff,relative_boundary_q0,relative_boundary_q1,relative_boundary_q2,absolute_boundary_v0,absolute_boundary_v1,absolute_boundary_v2,absolute_boundary_v3
0,1,0,1,1,0,1,1,0,1,1,0,0
1,2,0,2,1,0,1,0,1,1,0,1,0
2,3,0,3,1,1,0,1,1,1,0,0,1
3,12,1,2,1,0,0,1,1,0,1,1,0
4,13,1,3,1,1,1,0,1,0,1,0,1
5,23,2,3,1,1,1,1,0,0,0,1,1
