opposite_pair_id,edge_code_a,edge_code_b,relative_boundary_q0,relative_boundary_q1,relative_boundary_q2,eta6_pair_coeff,holonomy_pairing
0,1,23,0,0,0,0,1
1,2,13,0,0,0,0,1
2,3,12,0,0,0,0,1
