face_id,face_code,edge_01,edge_02,edge_03,edge_12,edge_13,edge_23,holonomy_face_pairing
0,12,1,1,0,1,0,0,0
1,13,1,0,1,0,1,0,0
2,23,0,1,1,0,0,1,0
3,123,0,0,0,1,1,1,0
