shell,target_2_over_w,samples,max_local_eta,max_eta_scale,max_eta_ratio_at_point,max_eta_psi_at_point,eta_violating_samples,max_ratio_among_eta_violations
12,0.16666666666666666,320,0.4318708719394949,8,1.0005148376647381e-53,-122.03649522350312,191,6.9743088286815495e-06
16,0.125,320,0.33043915060138596,8,9.68559815042449e-74,-168.12065682610938,196,4.1267131398254124e-05
