generator_id,order,fixed_point_count,moved_point_count,block_image_count,preserves_all_blocks_flag,image_00,image_01,image_02,image_03,image_04,image_05,image_06,image_07,image_08,image_09,image_10,image_11,image_12,image_13,image_14,image_15,image_16,image_17,image_18,image_19,image_20,image_21,image_22
0,2,7,16,253,1,1,0,2,3,4,17,13,12,20,9,10,11,7,6,14,21,22,5,19,18,8,15,16
1,15,0,23,253,1,1,2,3,4,0,11,19,20,15,10,6,17,7,8,21,16,12,5,13,14,9,22,18
2,3,5,18,253,1,0,2,4,6,1,14,18,5,17,21,8,13,12,22,7,9,16,10,3,19,20,15,11
