block_id,mask,weight,base_tuple_intersection_count,contains_base_tuple_flag
0,7315,7,2,0
1,10827,7,3,0
2,12583,7,3,0
3,19996,7,2,0
4,21872,7,0,0
5,25512,7,1,0
6,30916,7,1,0
7,35214,7,3,0
8,37602,7,1,0
9,42042,7,2,0
10,49261,7,3,0
11,56065,7,1,0
12,67925,7,2,0
13,70201,7,2,0
14,74977,7,1,0
15,82102,7,2,0
16,93442,7,1,0
17,100132,7,1,0
18,105544,7,1,0
19,109200,7,0,0
20,135104,7,0,0
21,136364,7,2,0
22,139892,7,1,0
23,145688,7,1,0
24,149027,7,2,0
25,164273,7,1,0
26,175109,7,2,0
27,182354,7,1,0
28,196970,7,2,0
29,203270,7,2,0
30,215177,7,2,0
31,258080,7,0,0
32,265010,7,1,0
33,266334,7,3,0
34,272006,7,2,0
35,279249,7,1,0
36,291849,7,2,0
37,296259,7,2,0
38,314528,7,0,0
39,319764,7,1,0
40,329112,7,1,0
41,337964,7,2,0
42,340800,7,0,0
43,364677,7,2,0
44,377354,7,2,0
45,393997,7,3,0
46,399457,7,1,0
47,414082,7,1,0
48,431632,7,0,0
49,434376,7,1,0
50,466963,7,2,0
51,476228,7,1,0
52,527657,7,2,0
53,529989,7,2,0
54,532637,7,3,0
55,541898,7,2,0
56,553490,7,1,0
57,557912,7,1,0
58,563252,7,1,0
59,570752,7,0,0
60,590723,7,2,0
61,608864,7,0,0
62,610572,7,2,0
63,630854,7,2,0
64,640017,7,1,0
65,656662,7,2,0
66,665762,7,1,0
67,680257,7,1,0
68,692235,7,3,0
69,705156,7,1,0
70,725200,7,0,0
71,730632,7,1,0
72,786916,7,1,0
73,793224,7,1,0
74,797776,7,0,0
75,804871,7,3,0
76,827937,7,1,0
77,857122,7,1,0
78,933944,7,1,0
79,1018112,7,0,0
80,1050872,7,1,0
81,1053588,7,1,0
82,1058124,7,2,0
83,1064480,7,0,0
84,1065243,7,3,0
85,1083017,7,2,0
86,1093713,7,1,0
87,1102854,7,2,0
88,1115730,7,1,0
89,1126538,7,2,0
90,1139205,7,2,0
91,1148963,7,2,0
92,1163712,7,0,0
93,1179847,7,3,0
94,1198372,7,1,0
95,1200712,7,1,0
96,1205392,7,0,0
97,1221378,7,1,0
98,1250561,7,1,0
99,1277980,7,2,0
100,1311797,7,2,0
101,1321345,7,1,0
102,1335394,7,1,0
103,1346116,7,1,0
104,1347880,7,1,0
105,1398800,7,0,0
106,1444874,7,2,0
107,1508000,7,0,0
108,1573422,7,3,0
109,1579330,7,1,0
110,1593505,7,1,0
111,1632264,7,1,0
112,1641604,7,1,0
113,1646896,7,0,0
114,1706513,7,1,0
115,1737824,7,0,0
116,1853184,7,0,0
117,1867922,7,1,0
118,1900617,7,2,0
119,1978372,7,1,0
120,2100326,7,2,0
121,2103050,7,2,0
122,2105810,7,1,0
123,2114949,7,2,0
124,2123825,7,1,0
125,2130455,7,3,0
126,2150552,7,1,0
127,2156096,7,0,0
128,2163404,7,2,0
129,2169248,7,0,0
130,2176020,7,1,0
131,2183235,7,2,0
132,2203913,7,2,0
133,2229337,7,2,0
134,2241153,7,1,0
135,2252814,7,3,0
136,2263592,7,1,0
137,2265412,7,1,0
138,2310928,7,0,0
139,2327682,7,1,0
140,2359467,7,3,0
141,2378056,7,1,0
142,2380324,7,1,0
143,2406402,7,1,0
144,2428417,7,1,0
145,2457712,7,0,0
146,2492564,7,1,0
147,2499872,7,0,0
148,2623152,7,0,0
149,2632452,7,1,0
150,2633832,7,1,0
151,2656449,7,1,0
152,2670882,7,1,0
153,2689050,7,2,0
154,2776064,7,0,0
155,2818085,7,2,0
156,2887953,7,1,0
157,2917388,7,2,0
158,2973824,7,0,0
159,3015234,7,1,0
160,3146593,7,1,0
161,3151885,7,3,0
162,3164802,7,1,0
163,3181840,7,0,0
164,3186852,7,1,0
165,3228712,7,1,0
166,3280946,7,1,0
167,3352640,7,0,0
168,3413184,7,0,0
169,3416600,7,1,0
170,3473670,7,2,0
171,3588097,7,1,0
172,3679235,7,2,0
173,3686484,7,1,0
174,3772928,7,0,0
175,3801480,7,1,0
176,4197029,7,2,0
177,4198857,7,2,0
178,4204305,7,1,0
179,4211526,7,2,0
180,4216874,7,2,0
181,4228308,7,1,0
182,4237664,7,0,0
183,4239884,7,2,0
184,4251779,7,2,0
185,4260879,7,4,1
186,4281984,7,0,0
187,4284504,7,1,0
188,4296978,7,1,0
189,4326042,7,2,0
190,4338754,7,1,0
191,4345877,7,2,0
192,4375816,7,1,0
193,4394032,7,0,0
194,4399492,7,1,0
195,4424257,7,1,0
196,4458088,7,1,0
197,4463876,7,1,0
198,4468912,7,0,0
199,4491289,7,2,0
200,4524226,7,1,0
201,4538657,7,1,0
202,4614656,7,0,0
203,4620326,7,2,0
204,4718707,7,2,0
205,4737424,7,0,0
206,4744228,7,1,0
207,4754946,7,1,0
208,4798465,7,1,0
209,4817064,7,1,0
210,4851788,7,2,0
211,4854560,7,0,0
212,4989194,7,2,0
213,5034048,7,0,0
214,5046804,7,1,0
215,5112961,7,1,0
216,5244322,7,1,0
217,5253142,7,2,0
218,5262401,7,1,0
219,5292592,7,0,0
220,5311240,7,1,0
221,5312612,7,1,0
222,5382185,7,2,0
223,5412992,7,0,0
224,5509635,7,2,0
225,5521548,7,2,0
226,5612544,7,0,0
227,5636432,7,0,0
228,5772312,7,1,0
229,5776064,7,0,0
230,5800197,7,2,0
231,5980162,7,1,0
232,6291772,7,2,0
233,6298192,7,0,0
234,6302856,7,1,0
235,6329377,7,1,0
236,6365730,7,1,0
237,6408196,7,1,0
238,6424835,7,2,0
239,6439136,7,0,0
240,6561861,7,2,0
241,6571026,7,1,0
242,6587264,7,0,0
243,6754312,7,1,0
244,6819974,7,2,0
245,6832649,7,2,0
246,6882624,7,0,0
247,6987792,7,0,0
248,7368960,7,0,0
249,7372874,7,2,0
250,7405713,7,1,0
251,7472644,7,1,0
252,8128544,7,0,0
