level,base_point,orbit_size,input_generator_count,schreier_generator_count,cumulative_order_prefix
0,0,23,3,61,23
1,1,22,61,1093,506
2,2,21,1093,959,10626
3,3,20,959,47,212520
4,4,16,47,2,3400320
5,5,3,2,0,10200960
