observable_id,observable_code,value
0,0,1
1,1,23
2,2,253
3,3,7
4,4,253
5,5,8855
6,6,8855
7,7,1
8,8,3
9,9,3
10,10,10200960
11,11,10200960
12,12,1
13,13,6
14,14,0
15,15,212520
16,16,48
17,17,48
18,18,10200960
19,19,1
20,20,1
21,21,1
22,22,0
23,23,0
