source_sector,raw_sector,perennial_id,perennial_payload_sha256,coordinate_fingerprint_id,coordinate_payload_sha256,block_dimension,matrix_unit_count,six_identity_trace_fingerprint_signed,canonical_character_row_sha256,matrix_unit_block_sha256,convention_status,burning_ship_trace_signature,public_zero_support_projector_sha256_memberships,public_zero_support_name_aliases
10,24,a985pf.6a5e79e5cd51d443d142d532,6a5e79e5cd51d443d142d53296decfb5c174b09456d0317c32bb29bd386ef588,a985coord.a7cab8e86acf5d3b7cd959fb,a7cab8e86acf5d3b7cd959fbb048326c448f38ca91394524eb6e9f9aa09407e7,1,1,"[0, -223959, 0, 0, 0, 0]",b444f7e5ef79dc8c3a766ae6c19a0ff8214d3ac6f3423ba4bfa9ed907503f381,9c49b8e8ba8bf51aa1a663ac4019a08eb08ebbcc5b838aaa162678ad79995432,INTRINSIC_CANONICAL_DIMENSION_ONE,"{""z2_a12_parity"":-48,""z4_a12_frame_clock"":48,""z4_a42_clock"":-96}",,
11,6,a985pf.8fffb0f688ed50427e0186ab,8fffb0f688ed50427e0186ab0999485d855ff034bf767da329f3872d9fcac4c0,a985coord.5f4cec74e6f53c9b89783b31,5f4cec74e6f53c9b89783b311054fddbb48768d8e1698a0d17c2e71c273bbf86,5,25,"[0, 0, 104167, -447918, 373048, -417970]",df98e2bea2f9ee60fc17da27750f7dd70d6ee08a2c031e017d4ec424e4ab9eac,fe81a9b6c0fcb1dd55c7ffeae5892d51f430b6b3d80416dde6c2cd315055ccce,REPO_STORED_BASIS_CONVENTION,"{""z2_a12_parity"":-3,""z4_a12_frame_clock"":9,""z4_a42_clock"":-6}",,
12,14,a985pf.4113b4cf3fbfcf77f1f596cb,4113b4cf3fbfcf77f1f596cb6803566c71acc7c97b3001eac4ed3895e02dafc0,a985coord.876f8adc4abee9e58f31872e,876f8adc4abee9e58f31872efcf1d709847560152caf78755f4df621e2adfdef,4,16,"[0, 104167, -194445, 402779, 0, 0]",3ab30442bbe1fa256f37407fec8f31881187dddd40fcdf84b2cf84c0d984f417,4fe11932b453f117aad357fbcc44e43193ff00f7939c1fa932439aeabf27f45b,REPO_STORED_BASIS_CONVENTION,"{""z2_a12_parity"":27,""z4_a12_frame_clock"":-21,""z4_a42_clock"":54}",,
13,3,a985pf.6cd0c272a8079b2d47dc4ed0,6cd0c272a8079b2d47dc4ed0d8106b5e2b06b967ec80b7c7189ea52a91a449a5,a985coord.a867de8ab97fae143e663619,a867de8ab97fae143e663619f049acd5ea19293d2e9fab53b75d5c3349b44652,2,4,"[0, 0, 0, -74653, 0, 194011]",7b2d7bb61bba4e6b97f0ac45738b7c84b1fd3b076ae2a5a2f3fd21577dd1aefc,a5c04648d4fcad74d355370a6d5806baed333b132d1efd244cd2a39b4a246f0a,REPO_STORED_BASIS_CONVENTION,"{""z2_a12_parity"":-11,""z4_a12_frame_clock"":-35,""z4_a42_clock"":-22}",,
14,27,a985pf.eb9d6a0a14d39806215ee30f,eb9d6a0a14d39806215ee30f2b81712c9c94468122332d588478418bc56d84e5,a985coord.2a0417f038c9f784471baa11,2a0417f038c9f784471baa11f0bb9b7c0d6692ee43570dab71e655e9b35c36b8,5,25,"[0, 0, 402779, -298612, 0, -223959]",dc518ccd20bbfc2a006ef76c235e3fc38e7013f52925a5b8a7c7f7890133bff3,3be86c019ac41d4b56a70442ad038948ee88907cc89eca55290aaf37ff69ec96,REPO_STORED_BASIS_CONVENTION,"{""z2_a12_parity"":15,""z4_a12_frame_clock"":39,""z4_a42_clock"":30}",,
15,37,a985pf.b5a81e55237249530c339f32,b5a81e55237249530c339f3260aec4e2854b098589af898cfa1c65e3c1f1f2a2,a985coord.63411e99dc4688af236684b0,63411e99dc4688af236684b0b35d1039cbbb7525bdb273fd6bd18a61f4d5497d,4,16,"[-31250, 0, -375001, 0, 238282, 0]",b4c72db291972eb9c44e209c205b5b7b1f3f892d59c367aae51cbb3f7b101f9b,87a9f66cb1f0674678ae6e6108981f7d630fd652824f026a7d131dfac5108b96,REPO_STORED_BASIS_CONVENTION,"{""z2_a12_parity"":-1,""z4_a12_frame_clock"":3,""z4_a42_clock"":-2}",,
16,7,a985pf.7d98d55fa0bcca8585dd44b7,7d98d55fa0bcca8585dd44b7a7cdad83639e33ed3eba71c54e76cdb92f3c7385,a985coord.a20c61b29f5bb62166e5d81a,a20c61b29f5bb62166e5d81abe51c6eed67aa76f78955fda95c97826fe4aeeaa,3,9,"[0, 0, 0, -343751, 0, 0]",fb782f593b71b90e500db48be2b1b7bf2ca169c8c2f8406ccae5f92780511269,933f83e0e1f30b2dab316d2016a8a09d19a98b0f1d4362c91335979a4ae00f89,REPO_STORED_BASIS_CONVENTION,"{""z2_a12_parity"":3,""z4_a12_frame_clock"":3,""z4_a42_clock"":6}",,
17,31,a985pf.e35b4767bbe49090117feac8,e35b4767bbe49090117feac8869834e492e83fa7d1f1e3e9e3e8f3bc59753c54,a985coord.9f366dd0bb7ecf0a65e1ba17,9f366dd0bb7ecf0a65e1ba17a6399ce13316a4df823672e878193146da6c72ca,4,16,"[-15625, 0, 0, -343751, 476564, 0]",2ffd32764d1a4467a35fe776e3f345ddd48d01d1f287ac6149eba82e7aac49f6,2a2fc17b7c332a1b58b4dfea11fed26db9f1e94538172f69f9354e5597ab836c,REPO_STORED_BASIS_CONVENTION,"{""z2_a12_parity"":7,""z4_a12_frame_clock"":-13,""z4_a42_clock"":14}",,
18,20,a985pf.0431fb38103754f993836167,0431fb38103754f993836167cc99b3cae32521a19eacee9e770f17cef764261e,a985coord.0f48fcbaf752e9308639b2e1,0f48fcbaf752e9308639b2e1b70c0cbb15a08fb4e3a6c353279cdda21401f01e,6,36,"[388022, -223959, -298612, -74653, -208985, 194011]",df1cb05ddb6c18819dfe6a4c96b54c3ba1f96a1827312bd73b2b70d6444e5a86,080fed8553f6a181b88d0460c4103f47c77d0ba883646b2f28bf4cb50a4f7c2b,REPO_STORED_BASIS_CONVENTION,"{""z2_a12_parity"":1774,""z4_a12_frame_clock"":5326,""z4_a42_clock"":5084}",,
19,5,a985pf.034e9541a05e71f5bb32c17d,034e9541a05e71f5bb32c17d0b61ab265e4f86d43e1b451647c2997a3f83e1da,a985coord.4ea5c02ccd7e013e441b327a,4ea5c02ccd7e013e441b327aaa22b757ad32a98a253a50a7cd1f78b31b69b917,1,1,"[0, -343751, 0, 0, 0, 0]",e4754eec590cb57b10b348221c17b6575cbfd900bbe14e077e50e1e0c4a196c1,b56eb1140e1ac047b51678617f616b9b3faabb51565b0ec5d5154e5cbf112f2a,INTRINSIC_CANONICAL_DIMENSION_ONE,"{""z2_a12_parity"":-8,""z4_a12_frame_clock"":8,""z4_a42_clock"":-16}",,
