schema_id,schema_code,source_code,row_count,class_id_flag,lazy63_index_flag,dynamics_id_flag,rim_phase_key_flag,semantic_bridge_key_flag
0,0,0,1086,0,0,1,0,0
1,1,1,63,0,1,1,0,0
2,2,2,63,1,0,0,1,1
3,3,3,124,1,0,0,1,1
4,4,4,63,1,0,0,1,1
