bridge_id,bridge_code,source_code,selector_row_count,rim_row_count,count_match_flag,semantic_key_present_flag,row_bridge_present_flag,golden_selector_backed_flag,obstruction_flag
0,0,0,63,63,1,0,0,0,1
1,1,1,63,63,1,0,0,0,1
2,2,2,63,124,0,0,0,0,1
3,3,3,1,144,0,1,0,0,1
4,4,4,0,1,0,0,0,0,1
