object,group,distinct_orbit_size,min_preimage_size,max_preimage_size
pair_plane_BVS,signed_fano_768,4,192,192
pair_plane_BVS,full_WD6_23040,60,384,384
active_plane_u0_uV,signed_fano_768,24,32,32
active_plane_u0_uV,full_WD6_23040,120,192,192
u0_line,signed_fano_768,16,48,48
u0_line,full_WD6_23040,16,1440,1440
uV_line,signed_fano_768,48,16,16
uV_line,full_WD6_23040,240,96,96
uBS_line,signed_fano_768,24,32,32
uBS_line,full_WD6_23040,120,192,192
