operator,group,stabilizer_size,orbit_size
A6_full,signed_fano_768,6,128
A6_full,full_WD6_23040,44,523
A6_active_chamber,signed_fano_768,16,48
A6_active_chamber,full_WD6_23040,96,240
A6_pair_projection,signed_fano_768,16,48
A6_pair_projection,full_WD6_23040,96,240
A6_scalar,signed_fano_768,768,1
A6_scalar,full_WD6_23040,23040,1
