projector,group,stabilizer_size,orbit_size
pair_plane_BVS,signed_fano_768,192,4
pair_plane_BVS,full_WD6_23040,384,60
active_plane_u0_uV,signed_fano_768,32,24
active_plane_u0_uV,full_WD6_23040,192,120
u0_line,signed_fano_768,48,16
u0_line,full_WD6_23040,1440,16
uV_line,signed_fano_768,16,48
uV_line,full_WD6_23040,96,240
uBS_line,signed_fano_768,32,24
uBS_line,full_WD6_23040,192,120
