average_or_component,A6_energy_fraction_vs_A6,cos2_with_A6,Rhat_energy_vs_R,cos2_Rhat_with_R,participation_rank
signed_fano_full_average,0.1652712806307987,0.16527128063080035,758460.067642431,1.1525500467534486e-06,6.0
signed_fano_active_stabilizer_average,0.9862979386184327,0.986297938618433,1913253.9602180321,7.400382865498091e-08,1.0054037882040363
WD6_full_average,0.16527128063093285,0.1652712806308012,758460.0676430677,1.1525500467534087e-06,5.999999999999998
WD6_active_stabilizer_average,0.9862979386184327,0.9862979386184335,1913253.9602180333,7.400382865499474e-08,1.0054037882040388
active_projection,0.9935526370391362,0.993552637039136,1912419.1322719075,5.155343053638417e-08,1.0009342641772139
pair_projection,0.993552637039136,0.9935526370391364,1912419.132271916,5.1553430536356916e-08,1.0009342641772139
