rank,p17_id,p5_a,p5_b,p5_c,p5_d,p5_e,p5_f,joint_p0_support,joint_p1_support,joint_p2_support,joint_p3_support,joint_p4_support,joint_support_min,joint_support_max,joint_support_spread,below_p15_floor_flag,below_p14_floor_flag,below_p11_floor_flag,below_p8_floor_flag,below_p7_floor_flag,below_p6_floor_flag,below_p5_floor_flag,support_equal_flag,total_f4_delta,abs_total_f4_delta,per_face_delta_zero_flag,joint_mult_value
0,117520136,1,47,57,79,110,128,1083830080,1083830080,1084205056,1084205056,1084322816,1083830080,1084322816,492736,0,1,1,1,1,1,1,0,0,0,1,5877006336
1,335956070,5,45,48,90,106,128,428510624,428142400,427822592,428451840,430123264,427822592,430123264,2300672,0,0,0,1,1,1,1,0,690880,690880,0,4008443904
2,715331922,13,43,52,94,110,114,428142400,428510624,428451840,427822592,430123264,427822592,430123264,2300672,0,0,0,1,1,1,1,0,-690880,690880,0,4442554368
3,870361698,17,39,48,94,102,118,491259584,491259584,490535424,490535424,493212160,490535424,493212160,2676736,0,0,0,0,0,1,1,0,0,0,1,4442554368
4,190726068,3,15,80,84,106,126,361508512,360207232,362670976,359977440,360785920,359977440,362670976,2693536,0,0,0,0,0,1,1,0,762692,762692,0,4185391104
5,1303575813,33,35,62,76,104,114,360207232,361508512,359977440,362670976,360785920,359977440,362670976,2693536,0,0,0,0,0,1,1,0,-762692,762692,0,4208984064
6,694172407,13,26,64,74,97,130,732396544,730827136,730678592,732684224,733380320,730678592,733380320,2701728,0,0,0,0,0,1,1,0,-190424,190424,0,4926210048
7,985690529,20,45,68,86,98,143,730827136,732396544,732684224,730678592,733380320,730678592,733380320,2701728,0,0,0,0,0,1,1,0,190424,190424,0,5490081792
8,579800495,10,41,68,86,110,143,710673216,711890560,713028928,713549248,713526048,710673216,713549248,2876032,0,0,0,0,0,1,1,0,-16960,16960,0,5546704896
9,890119541,18,25,64,74,97,128,711890560,710673216,713549248,713028928,713526048,710673216,713549248,2876032,0,0,0,0,0,1,1,0,16960,16960,0,4812963840
10,206929715,3,28,66,86,104,128,306026944,305299072,308178048,306966464,305487584,305299072,308178048,2878976,0,0,0,0,0,1,1,0,-409860,409860,0,3562536960
11,1336488822,35,36,58,64,110,126,305299072,306026944,306966464,308178048,305487584,305299072,308178048,2878976,0,0,0,0,0,1,1,0,409860,409860,0,3884580864
12,830774786,16,37,82,92,108,141,864061856,864491840,861546304,862568064,863637440,861546304,864491840,2945536,0,0,0,0,0,1,1,0,-288640,288640,0,5320212480
13,1227966179,29,38,50,60,109,140,864491840,864061856,862568064,861546304,863637440,861546304,864491840,2945536,0,0,0,0,0,1,1,0,288640,288640,0,5394530304
14,674398859,12,45,48,80,104,128,313864000,310990464,314018432,313499264,312971648,310990464,314018432,3027968,0,0,0,0,0,1,1,0,-160900,160900,0,3484680192
15,717027318,13,44,62,94,110,126,310990464,313864000,313499264,314018432,312971648,310990464,314018432,3027968,0,0,0,0,0,1,1,0,160900,160900,0,3983671296
16,765213707,15,17,58,86,132,138,455424704,454267360,456771840,453714752,456405792,453714752,456771840,3057088,0,0,0,0,0,1,1,0,1258500,1258500,0,5176295424
17,1308724981,33,39,64,66,100,124,454267360,455424704,453714752,456771840,456405792,453714752,456771840,3057088,0,0,0,0,0,1,1,0,-1258500,1258500,0,4022599680
18,961737481,20,26,77,85,99,131,1598626048,1598626048,1597476352,1597476352,1600636032,1597476352,1600636032,3159680,0,0,0,0,0,1,1,0,0,0,1,7176978432
19,1203174477,28,36,65,87,96,142,798288192,798288192,796392192,796392192,795056000,795056000,798288192,3232192,0,0,0,0,0,1,1,0,0,0,1,4936826880
20,594234242,11,17,48,76,106,140,491394528,488440032,491987424,488853504,489520000,488440032,491987424,3547392,0,0,0,0,0,1,1,0,906904,906904,0,4614782976
21,944045135,19,39,84,94,108,114,488440032,491394528,488853504,491987424,489520000,488440032,491987424,3547392,0,0,0,0,0,1,1,0,-906904,906904,0,4315152384
22,544409397,10,13,78,80,108,112,344906704,346712160,345776768,348511488,346853120,344906704,348511488,3604784,0,0,0,0,0,1,1,0,-352028,352028,0,3869245440
23,915243368,18,45,56,62,134,140,346712160,344906704,348511488,345776768,346853120,344906704,348511488,3604784,0,0,0,0,0,1,1,0,352028,352028,0,4107534336
24,856124301,17,27,77,80,108,112,692949968,692939360,690348672,690367488,689255296,689255296,692949968,3694672,0,0,0,0,0,1,1,0,-656924,656924,0,5114953728
25,1010938376,21,39,62,85,134,140,692939360,692949968,690367488,690348672,689255296,689255296,692949968,3694672,0,0,0,0,0,1,1,0,656924,656924,0,5424021504
26,199135906,3,22,62,66,130,136,325448512,326719936,325006848,328786560,328811840,325006848,328811840,3804992,0,0,0,0,0,1,1,0,-569344,569344,0,3869245440
27,375856482,6,35,58,80,98,120,326719936,325448512,328786560,325006848,328811840,325006848,328811840,3804992,0,0,0,0,0,1,1,0,569344,569344,0,3746562048
28,774412687,15,24,66,86,97,130,747685632,748837888,746699008,744923008,745175584,744923008,748837888,3914880,0,0,0,0,0,1,1,0,-231512,231512,0,5053612032
29,1309768313,33,40,58,64,98,143,748837888,747685632,744923008,746699008,745175584,744923008,748837888,3914880,0,0,0,0,0,1,1,0,231512,231512,0,5847515136
30,159537569,2,35,58,68,96,114,307346944,311030496,307068928,308410496,308865280,307068928,311030496,3961568,0,0,0,0,0,1,1,0,-247552,247552,0,4067426304
31,214550572,3,34,66,74,106,142,311030496,307346944,308410496,307068928,308865280,307068928,311030496,3961568,0,0,0,0,0,1,1,0,247552,247552,0,3737124864
