class_id,face_id,label_mask,move_count,pair_count,zero_delta_pair_count,unique_pair_delta_count,min_abs_pair_delta
0,12,30,48,1128,192,19,0
1,22,45,48,1128,192,19,0
2,26,51,48,1128,192,19,0
