profile_id,profile_code,source_code,public_transport_axis_flag,shared_table_required_flag,wire_equivalence_required_flag,self_contained_flag,transport_bytes,baseline_public_exchange_bytes,delta_vs_baseline_bytes,improvement_num,improvement_den,objective_improvement_potential_flag,current_public_claim_ready_flag,external_improvement_claim_flag
0,0,0,1,0,0,1,5376,1568,3808,0,1,0,0,0
1,1,1,1,1,1,0,224,1568,-1344,6,7,1,0,0
2,2,2,0,1,0,0,224,1568,-1344,6,7,0,0,0
