orbit_id,agda_dynamics_id,agda_membership_constructor,raw543_fin_index,raw543_fin_witness,bucket,bucket_index,lazy63_index,paired480_index,orbit_size,fixed,representative_mask,member_a_mask,member_b_mask,member_a_bits_lsb_first,member_b_bits_lsb_first
7,d7,rawGapMember7,7,"from_nat_prime(543,7)",lazy63_fixed,0,0,,1,True,17,17,17,10001000000,10001000000
42,d42,rawGapMember42,42,"from_nat_prime(543,42)",lazy63_fixed,1,1,,1,True,96,96,96,00000110000,00000110000
50,d50,rawGapMember50,50,"from_nat_prime(543,50)",lazy63_fixed,2,2,,1,True,113,113,113,10001110000,10001110000
58,d58,rawGapMember58,58,"from_nat_prime(543,58)",lazy63_fixed,3,3,,1,True,130,130,130,01000001000,01000001000
65,d65,rawGapMember65,65,"from_nat_prime(543,65)",lazy63_fixed,4,4,,1,True,147,147,147,11001001000,11001001000
101,d101,rawGapMember101,101,"from_nat_prime(543,101)",lazy63_fixed,5,5,,1,True,226,226,226,01000111000,01000111000
108,d108,rawGapMember108,108,"from_nat_prime(543,108)",lazy63_fixed,6,6,,1,True,243,243,243,11001111000,11001111000
116,d116,rawGapMember116,116,"from_nat_prime(543,116)",lazy63_fixed,7,7,,1,True,258,258,258,01000000100,01000000100
123,d123,rawGapMember123,123,"from_nat_prime(543,123)",lazy63_fixed,8,8,,1,True,275,275,275,11001000100,11001000100
159,d159,rawGapMember159,159,"from_nat_prime(543,159)",lazy63_fixed,9,9,,1,True,354,354,354,01000110100,01000110100
166,d166,rawGapMember166,166,"from_nat_prime(543,166)",lazy63_fixed,10,10,,1,True,371,371,371,11001110100,11001110100
173,d173,rawGapMember173,173,"from_nat_prime(543,173)",lazy63_fixed,11,11,,1,True,384,384,384,00000001100,00000001100
181,d181,rawGapMember181,181,"from_nat_prime(543,181)",lazy63_fixed,12,12,,1,True,401,401,401,10001001100,10001001100
216,d216,rawGapMember216,216,"from_nat_prime(543,216)",lazy63_fixed,13,13,,1,True,480,480,480,00000111100,00000111100
224,d224,rawGapMember224,224,"from_nat_prime(543,224)",lazy63_fixed,14,14,,1,True,497,497,497,10001111100,10001111100
231,d231,rawGapMember231,231,"from_nat_prime(543,231)",lazy63_fixed,15,15,,1,True,516,516,516,00100000010,00100000010
237,d237,rawGapMember237,237,"from_nat_prime(543,237)",lazy63_fixed,16,16,,1,True,533,533,533,10101000010,10101000010
262,d262,rawGapMember262,262,"from_nat_prime(543,262)",lazy63_fixed,17,17,,1,True,612,612,612,00100110010,00100110010
268,d268,rawGapMember268,268,"from_nat_prime(543,268)",lazy63_fixed,18,18,,1,True,629,629,629,10101110010,10101110010
274,d274,rawGapMember274,274,"from_nat_prime(543,274)",lazy63_fixed,19,19,,1,True,646,646,646,01100001010,01100001010
279,d279,rawGapMember279,279,"from_nat_prime(543,279)",lazy63_fixed,20,20,,1,True,663,663,663,11101001010,11101001010
305,d305,rawGapMember305,305,"from_nat_prime(543,305)",lazy63_fixed,21,21,,1,True,742,742,742,01100111010,01100111010
310,d310,rawGapMember310,310,"from_nat_prime(543,310)",lazy63_fixed,22,22,,1,True,759,759,759,11101111010,11101111010
316,d316,rawGapMember316,316,"from_nat_prime(543,316)",lazy63_fixed,23,23,,1,True,774,774,774,01100000110,01100000110
321,d321,rawGapMember321,321,"from_nat_prime(543,321)",lazy63_fixed,24,24,,1,True,791,791,791,11101000110,11101000110
347,d347,rawGapMember347,347,"from_nat_prime(543,347)",lazy63_fixed,25,25,,1,True,870,870,870,01100110110,01100110110
352,d352,rawGapMember352,352,"from_nat_prime(543,352)",lazy63_fixed,26,26,,1,True,887,887,887,11101110110,11101110110
357,d357,rawGapMember357,357,"from_nat_prime(543,357)",lazy63_fixed,27,27,,1,True,900,900,900,00100001110,00100001110
363,d363,rawGapMember363,363,"from_nat_prime(543,363)",lazy63_fixed,28,28,,1,True,917,917,917,10101001110,10101001110
388,d388,rawGapMember388,388,"from_nat_prime(543,388)",lazy63_fixed,29,29,,1,True,996,996,996,00100111110,00100111110
394,d394,rawGapMember394,394,"from_nat_prime(543,394)",lazy63_fixed,30,30,,1,True,1013,1013,1013,10101111110,10101111110
400,d400,rawGapMember400,400,"from_nat_prime(543,400)",lazy63_fixed,31,31,,1,True,1026,1026,1026,01000000001,01000000001
403,d403,rawGapMember403,403,"from_nat_prime(543,403)",lazy63_fixed,32,32,,1,True,1043,1043,1043,11001000001,11001000001
419,d419,rawGapMember419,419,"from_nat_prime(543,419)",lazy63_fixed,33,33,,1,True,1122,1122,1122,01000110001,01000110001
422,d422,rawGapMember422,422,"from_nat_prime(543,422)",lazy63_fixed,34,34,,1,True,1139,1139,1139,11001110001,11001110001
425,d425,rawGapMember425,425,"from_nat_prime(543,425)",lazy63_fixed,35,35,,1,True,1152,1152,1152,00000001001,00000001001
429,d429,rawGapMember429,429,"from_nat_prime(543,429)",lazy63_fixed,36,36,,1,True,1169,1169,1169,10001001001,10001001001
444,d444,rawGapMember444,444,"from_nat_prime(543,444)",lazy63_fixed,37,37,,1,True,1248,1248,1248,00000111001,00000111001
448,d448,rawGapMember448,448,"from_nat_prime(543,448)",lazy63_fixed,38,38,,1,True,1265,1265,1265,10001111001,10001111001
451,d451,rawGapMember451,451,"from_nat_prime(543,451)",lazy63_fixed,39,39,,1,True,1280,1280,1280,00000000101,00000000101
455,d455,rawGapMember455,455,"from_nat_prime(543,455)",lazy63_fixed,40,40,,1,True,1297,1297,1297,10001000101,10001000101
470,d470,rawGapMember470,470,"from_nat_prime(543,470)",lazy63_fixed,41,41,,1,True,1376,1376,1376,00000110101,00000110101
474,d474,rawGapMember474,474,"from_nat_prime(543,474)",lazy63_fixed,42,42,,1,True,1393,1393,1393,10001110101,10001110101
478,d478,rawGapMember478,478,"from_nat_prime(543,478)",lazy63_fixed,43,43,,1,True,1410,1410,1410,01000001101,01000001101
481,d481,rawGapMember481,481,"from_nat_prime(543,481)",lazy63_fixed,44,44,,1,True,1427,1427,1427,11001001101,11001001101
497,d497,rawGapMember497,497,"from_nat_prime(543,497)",lazy63_fixed,45,45,,1,True,1506,1506,1506,01000111101,01000111101
500,d500,rawGapMember500,500,"from_nat_prime(543,500)",lazy63_fixed,46,46,,1,True,1523,1523,1523,11001111101,11001111101
504,d504,rawGapMember504,504,"from_nat_prime(543,504)",lazy63_fixed,47,47,,1,True,1542,1542,1542,01100000011,01100000011
505,d505,rawGapMember505,505,"from_nat_prime(543,505)",lazy63_fixed,48,48,,1,True,1559,1559,1559,11101000011,11101000011
511,d511,rawGapMember511,511,"from_nat_prime(543,511)",lazy63_fixed,49,49,,1,True,1638,1638,1638,01100110011,01100110011
512,d512,rawGapMember512,512,"from_nat_prime(543,512)",lazy63_fixed,50,50,,1,True,1655,1655,1655,11101110011,11101110011
513,d513,rawGapMember513,513,"from_nat_prime(543,513)",lazy63_fixed,51,51,,1,True,1668,1668,1668,00100001011,00100001011
515,d515,rawGapMember515,515,"from_nat_prime(543,515)",lazy63_fixed,52,52,,1,True,1685,1685,1685,10101001011,10101001011
520,d520,rawGapMember520,520,"from_nat_prime(543,520)",lazy63_fixed,53,53,,1,True,1764,1764,1764,00100111011,00100111011
522,d522,rawGapMember522,522,"from_nat_prime(543,522)",lazy63_fixed,54,54,,1,True,1781,1781,1781,10101111011,10101111011
523,d523,rawGapMember523,523,"from_nat_prime(543,523)",lazy63_fixed,55,55,,1,True,1796,1796,1796,00100000111,00100000111
525,d525,rawGapMember525,525,"from_nat_prime(543,525)",lazy63_fixed,56,56,,1,True,1813,1813,1813,10101000111,10101000111
530,d530,rawGapMember530,530,"from_nat_prime(543,530)",lazy63_fixed,57,57,,1,True,1892,1892,1892,00100110111,00100110111
532,d532,rawGapMember532,532,"from_nat_prime(543,532)",lazy63_fixed,58,58,,1,True,1909,1909,1909,10101110111,10101110111
534,d534,rawGapMember534,534,"from_nat_prime(543,534)",lazy63_fixed,59,59,,1,True,1926,1926,1926,01100001111,01100001111
535,d535,rawGapMember535,535,"from_nat_prime(543,535)",lazy63_fixed,60,60,,1,True,1943,1943,1943,11101001111,11101001111
541,d541,rawGapMember541,541,"from_nat_prime(543,541)",lazy63_fixed,61,61,,1,True,2022,2022,2022,01100111111,01100111111
542,d542,rawGapMember542,542,"from_nat_prime(543,542)",lazy63_fixed,62,62,,1,True,2039,2039,2039,11101111111,11101111111
