basis_id,component_id,active_owner_flag,owner_cell_count,raw_source_cell_count,raw_support_count,raw_coeff_sum,owner_target_addr,raw_target_min,raw_target_max,raw_target_min_minus_owner_target,raw_target_max_minus_owner_target,raw_support_mod_1000000007,raw_support_mod_1000000009,raw_coeff_mod_1000000007,raw_coeff_mod_1000000009
0,-1,0,12376,1248,8184,9216,107,107,138,0,31,8184,8184,9216,9216
1,0,1,5280,572,5162,9360,77,77,106,0,29,5162,5162,9360,9360
2,-1,0,103,103,686,766,107,107,138,0,31,686,686,766,766
3,-1,0,3,3,5,5,108,108,118,0,10,5,5,5,5
4,-1,0,2560,420,2298,6048,33,33,44,0,11,2298,2298,6048,6048
5,0,1,8,8,25,40,78,78,101,0,23,25,25,40,40
6,-1,0,14,14,20,21,109,109,136,0,27,20,20,21,21
7,1,1,96023,17735,146050,270320,0,0,138,0,138,146050,146050,270320,270320
8,-1,0,1122,1122,7442,8415,107,107,138,0,31,7442,7442,8415,8415
9,-1,0,2196,93,843,2301,0,0,32,0,32,843,843,2301,2301
10,-1,0,3,3,27,75,1,1,32,0,31,27,27,75,75
11,-1,0,133,133,743,1960,33,33,44,0,11,743,743,1960,1960
12,-1,0,15,15,56,60,108,108,138,0,30,56,56,60,60
13,-1,0,11,11,35,92,34,34,44,0,10,35,35,92,92
14,0,1,9,9,31,52,89,89,104,0,15,31,31,52,52
15,-1,0,3,3,10,12,111,111,136,0,25,10,10,12,12
16,-1,0,18,18,25,27,125,125,136,0,11,25,25,27,27
17,-1,0,1,1,3,8,34,34,37,0,3,3,3,8,8
18,-1,0,1,1,2,8,37,37,44,0,7,2,2,8,8
19,0,1,2760,620,3656,5952,45,45,52,0,7,3656,3656,5952,5952
20,0,1,774,774,7039,12862,77,77,106,0,29,7039,7039,12862,12862
21,0,1,1,1,3,6,95,95,103,0,8,3,3,6,6
22,-1,0,693,693,4689,5271,107,107,138,0,31,4689,4689,5271,5271
23,-1,0,2,2,6,9,111,111,121,0,10,6,6,9,9
24,-1,0,2,2,2,3,137,137,137,0,0,2,2,3,3
25,-1,0,3655,150,1290,3716,0,0,32,0,32,1290,1290,3716,3716
26,-1,0,10,10,94,244,2,2,31,0,29,94,94,244,244
27,-1,0,72,72,408,1080,33,33,44,0,11,408,408,1080,1080
28,-1,0,1,1,2,8,35,35,42,0,7,2,2,8,8
29,-1,0,1,1,1,12,39,39,39,0,0,1,1,12,12
30,0,1,18,18,108,176,45,45,52,0,7,108,108,176,176
31,0,1,2,2,12,16,46,46,52,0,6,12,12,16,16
32,0,1,8896,2048,16896,18432,53,53,76,0,23,16896,16896,18432,18432
33,0,1,40,40,330,660,77,77,106,0,29,330,330,660,660
34,0,1,1,1,10,12,78,78,101,0,23,10,10,12,12
35,0,1,2,2,18,36,79,79,104,0,25,18,18,36,36
36,0,1,1,1,2,12,105,105,106,0,1,2,2,12,12
37,-1,0,89,89,593,711,107,107,138,0,31,593,593,711,711
38,-1,0,3,3,15,24,109,109,137,0,28,15,15,24,24
39,-1,0,9,9,19,27,113,113,138,0,25,19,19,27,27
40,-1,0,2,2,6,6,114,114,134,0,20,6,6,6,6
41,-1,0,2,2,2,3,138,138,138,0,0,2,2,3,3
42,-1,0,6032,208,1200,1920,195,195,214,0,19,1200,1200,1920,1920
43,-1,0,10,10,13,15,197,197,203,0,6,13,13,15,15
44,0,1,2860,396,2284,4320,183,183,194,0,11,2284,2284,4320,4320
45,-1,0,2,2,2,2,197,197,202,0,5,2,2,2,2
46,-1,0,2,2,3,4,198,198,202,0,4,3,3,4,4
47,0,1,1,1,1,6,188,188,188,0,0,1,1,6,6
48,-1,0,2,2,2,3,204,204,204,0,0,2,2,3,3
49,-1,0,6,6,9,9,205,205,209,0,4,9,9,9,9
50,0,1,258,258,1636,3142,183,183,194,0,11,1636,1636,3142,3142
51,-1,0,2,2,2,2,205,205,210,0,5,2,2,2,2
52,-1,0,2,2,4,4,206,206,210,0,4,4,4,4,4
53,-1,0,1440,320,1726,10752,151,151,166,0,15,1726,1726,10752,10752
54,0,1,6,6,20,24,189,189,192,0,3,20,20,24,24
55,-1,0,1428,1428,7658,11478,195,195,214,0,19,7658,7658,11478,11478
56,-1,0,2,2,3,3,208,208,210,0,2,3,3,3,3
57,-1,0,4672,1088,6728,8352,171,171,182,0,11,6728,6728,8352,8352
58,-1,0,4,4,4,6,211,211,212,0,1,4,4,6,6
59,0,1,1500,380,1092,2976,167,167,170,0,3,1092,1092,2976,2976
60,0,1,168,168,754,1388,183,183,194,0,11,754,754,1388,1388
61,0,1,3,3,3,6,193,193,193,0,0,3,3,6,6
62,-1,0,2,2,2,3,213,213,213,0,0,2,2,3,3
63,2,1,55708,8748,58045,146624,139,139,214,0,75,58045,58045,146624,146624
64,-1,0,72,72,307,1296,151,151,166,0,15,307,307,1296,1296
65,-1,0,8,8,35,240,152,152,166,0,14,35,35,240,240
66,0,1,18,18,54,88,167,167,170,0,3,54,54,88,88
67,0,1,2,2,6,8,168,168,170,0,2,6,6,8,8
68,-1,0,186,186,774,837,171,171,182,0,11,774,774,837,837
69,-1,0,6,6,18,27,172,172,182,0,10,18,18,27,27
70,0,1,41,41,136,270,183,183,194,0,11,136,136,270,270
71,0,1,1,1,3,6,184,184,192,0,8,3,3,6,6
72,0,1,5,5,14,48,186,186,194,0,8,14,14,48,48
73,0,1,1,1,1,6,194,194,194,0,0,1,1,6,6
74,-1,0,368,368,1440,1788,195,195,214,0,19,1440,1440,1788,1788
75,-1,0,40,40,88,120,199,199,214,0,15,88,88,120,120
76,-1,0,2,2,2,3,214,214,214,0,0,2,2,3,3
77,-1,0,1400,280,716,7616,227,227,240,0,13,716,716,7616,7616
78,-1,0,3,3,10,98,228,228,239,0,11,10,10,98,98
79,-1,0,7696,1872,5736,14080,271,271,290,0,19,5736,5736,14080,14080
80,-1,0,95,95,244,2478,227,227,240,0,13,244,244,2478,2478
81,-1,0,2,2,8,112,229,229,240,0,11,8,8,112,112
82,-1,0,5,5,9,15,274,274,289,0,15,9,9,15,15
83,2,1,55708,9760,45244,143552,215,215,290,0,75,45244,45244,143552,143552
84,-1,0,1520,400,1152,3072,223,223,226,0,3,1152,1152,3072,3072
85,-1,0,10,10,22,170,227,227,238,0,11,22,22,170,170
86,-1,0,8,8,20,266,228,228,240,0,12,20,20,266,266
87,-1,0,2,2,4,12,233,233,236,0,3,4,4,12,12
88,-1,0,4864,1280,5248,16896,241,241,262,0,21,5248,5248,16896,16896
89,0,1,3344,880,4032,6144,263,263,270,0,7,4032,4032,6144,6144
90,-1,0,190,190,571,1234,271,271,290,0,19,571,571,1234,1234
91,-1,0,8,8,13,20,272,272,285,0,13,13,13,20,20
92,-1,0,2,2,4,6,276,276,287,0,11,4,4,6,6
93,-1,0,2,2,2,4,279,279,279,0,0,2,2,4,4
94,-1,0,1,1,1,1,287,287,287,0,0,1,1,1,1
95,-1,0,20800,2496,11320,20480,467,467,530,0,63,11320,11320,20480,20480
96,-1,0,206,206,911,1533,467,467,530,0,63,911,911,1533,1533
97,-1,0,102,102,360,510,467,467,530,0,63,360,360,510,510
98,-1,0,19,19,33,36,470,470,528,0,58,33,33,36,36
99,-1,0,6,6,9,9,474,474,509,0,35,9,9,9,9
100,-1,0,8,8,12,12,480,480,506,0,26,12,12,12,12
101,-1,0,1,1,1,1,485,485,485,0,0,1,1,1,1
102,-1,0,4400,880,5536,6912,315,315,326,0,11,5536,5536,6912,6912
103,0,1,9680,1936,15520,18432,435,435,466,0,31,15520,15520,18432,18432
104,-1,0,9,9,14,14,487,487,510,0,23,14,14,14,14
105,-1,0,13,13,34,46,472,472,528,0,56,34,34,46,46
106,-1,0,16,16,20,24,511,511,529,0,18,20,20,24,24
107,-1,0,4660,1140,4744,15664,327,327,348,0,21,4744,4744,15664,15664
108,-1,0,15040,3776,20808,62608,349,349,434,0,85,20808,20808,62608,62608
109,-1,0,14,14,31,37,480,480,530,0,50,31,31,37,37
110,-1,0,16,16,22,26,512,512,530,0,18,22,22,26,26
111,-1,0,120,120,520,1284,349,349,434,0,85,520,520,1284,1284
112,-1,0,2,2,4,4,487,487,505,0,18,4,4,4,4
113,-1,0,10,10,40,80,328,328,348,0,20,40,40,80,80
114,-1,0,1,1,2,2,497,497,500,0,3,2,2,2,2
115,-1,0,4,4,6,6,513,513,528,0,15,6,6,6,6
116,-1,0,361,361,1835,2139,315,315,326,0,11,1835,1835,2139,2139
117,-1,0,19,19,57,69,316,316,324,0,8,57,57,69,69
118,-1,0,2,2,6,12,333,333,346,0,13,6,6,12,12
119,-1,0,102,102,437,1104,349,349,434,0,85,437,437,1104,1104
120,-1,0,6,6,23,68,350,350,432,0,82,23,23,68,68
121,0,1,817,817,5198,5842,435,435,466,0,31,5198,5198,5842,5842
122,0,1,19,19,46,46,459,459,466,0,7,46,46,46,46
123,-1,0,3636,3636,15335,25895,467,467,530,0,63,15335,15335,25895,25895
124,-1,0,2,2,3,4,516,516,519,0,3,3,3,4,4
125,-1,0,1,1,1,1,522,522,522,0,0,1,1,1,1
126,2,1,175920,34048,239164,452352,291,291,530,0,239,239164,239164,452352,452352
127,-1,0,15,15,74,78,315,315,326,0,11,74,74,78,78
128,-1,0,1,1,3,3,316,316,324,0,8,3,3,3,3
129,-1,0,3,3,12,12,317,317,326,0,9,12,12,12,12
130,-1,0,1,1,3,3,319,319,323,0,4,3,3,3,3
131,-1,0,126,126,452,1128,327,327,348,0,21,452,452,1128,1128
