fiber_row_id,sample_count,sum_value,component_fiber_path_count,raw_support_fiber_lift_digits,raw_support_fiber_lift_mod_1000000007,raw_support_fiber_lift_mod_1000000009,raw_coeff_fiber_lift_digits,raw_coeff_fiber_lift_mod_1000000007,raw_coeff_fiber_lift_mod_1000000009,long_tens_gap_flag,existing_prof_flag,raw_support_lift_positive_flag,raw_coeff_lift_positive_flag,compressed_raw_quotient_flag
68,8,5,504,44,631119937,832292634,46,952788721,296942666,0,1,1,1,0
69,8,6,784,45,350255139,815101505,46,743912426,21492281,0,1,1,1,0
70,8,7,1016,45,98519992,494163981,47,813970902,336754050,0,1,1,1,0
71,8,8,1107,46,966288522,186009976,48,907524202,722593587,0,1,1,1,0
72,8,9,1016,47,626468991,142560534,48,429312917,550740470,0,1,1,1,0
73,8,10,784,47,786672267,423343595,49,674787717,172862804,0,1,1,1,0
74,8,11,504,47,420669150,609537972,49,604263603,86735308,0,1,1,1,0
75,8,12,266,48,593090130,602530095,50,885039215,320670753,0,1,1,1,0
76,8,13,112,48,959022095,179377935,50,795605455,551710199,0,1,1,1,0
77,8,14,36,48,559523611,148230432,50,135371233,709435995,0,1,1,1,0
78,8,15,8,48,781354696,504214503,50,314064730,663546560,0,1,1,1,0
79,8,16,1,48,765118916,937811098,50,905705522,30683145,0,1,1,1,0
80,9,0,1,44,424579121,808894812,45,83848133,891558934,1,0,1,1,1
81,9,1,9,45,982245369,722819908,47,518454766,944207722,1,0,1,1,1
82,9,2,45,46,619389239,548436744,48,63330025,902892285,1,0,1,1,1
83,9,3,156,47,536968931,802442435,49,901246873,788656464,1,0,1,1,1
84,9,4,414,48,801250868,636360332,50,675940085,771722913,1,0,1,1,1
85,9,5,882,49,135931398,785438720,51,889846058,954386292,1,0,1,1,1
86,9,6,1554,50,415189393,246070903,52,862776232,730246749,1,0,1,1,1
87,9,7,2304,51,306306846,404463459,52,274855890,737970404,1,0,1,1,1
88,9,8,2907,51,979397758,874685511,53,402290992,395729122,1,0,1,1,1
89,9,9,3139,52,408088335,743679015,54,47603118,104488032,1,0,1,1,1
90,9,10,2907,52,729615279,371045732,54,263958988,99693919,1,0,1,1,1
91,9,11,2304,53,895116381,951364438,55,235456038,551925236,1,0,1,1,1
92,9,12,1554,53,764074850,736098918,55,183805482,830546306,1,0,1,1,1
93,9,13,882,54,945771280,454480264,56,251760538,755554551,1,0,1,1,1
94,9,14,414,54,658821366,146986622,56,617853608,845860874,1,0,1,1,1
95,9,15,156,54,670613105,622442763,56,465698943,666800733,1,0,1,1,1
96,9,16,45,54,871477621,457276057,57,807347516,233949010,1,0,1,1,1
97,9,17,9,54,552096230,786671755,57,834939056,409135768,1,0,1,1,1
98,9,18,1,54,446109988,881600695,56,269573973,919129216,1,0,1,1,1
99,10,0,1,49,928871564,113839588,50,653151806,636107652,1,0,1,1,1
100,10,1,10,50,801879821,862293490,52,271538994,88698242,1,0,1,1,1
101,10,2,55,51,981269709,860403614,53,406474964,471395976,1,0,1,1,1
102,10,3,210,52,106190017,458617458,54,37842485,379873628,1,0,1,1,1
103,10,4,615,53,514225997,568092947,55,150420298,279191464,1,0,1,1,1
104,10,5,1452,54,935579045,174455726,56,959793049,160706829,1,0,1,1,1
105,10,6,2850,55,102628987,489071868,57,750084047,44073631,1,0,1,1,1
106,10,7,4740,56,325243693,26120916,58,499541281,583071904,1,0,1,1,1
107,10,8,6765,56,534376953,858981397,58,900726941,724227187,1,0,1,1,1
108,10,9,8350,57,840546858,259418564,59,518242801,765408889,1,0,1,1,1
109,10,10,8953,58,9743097,641698125,60,113089814,527824326,1,0,1,1,1
110,10,11,8350,58,645775375,943193061,60,476459313,115795275,1,0,1,1,1
111,10,12,6765,59,418182370,173598343,61,564393699,104959784,1,0,1,1,1
112,10,13,4740,59,68098429,552344456,61,416026349,750634955,1,0,1,1,1
113,10,14,2850,59,457343462,334739525,62,63524433,157831840,1,0,1,1,1
114,10,15,1452,60,58108161,864523156,62,375150898,815137766,1,0,1,1,1
115,10,16,615,60,809200857,390402614,63,647365512,905762930,1,0,1,1,1
116,10,17,210,60,547287148,737254028,63,39866652,449417000,1,0,1,1,1
117,10,18,55,60,211408358,605839142,63,335771506,552263189,1,0,1,1,1
118,10,19,10,60,632913199,803459307,63,358712616,74329890,1,0,1,1,1
119,10,20,1,60,36907884,42491958,63,667365605,373120135,1,0,1,1,1
120,11,0,1,53,18578265,162234262,55,228852607,619336034,1,0,1,1,1
121,11,1,11,55,600698254,988455408,57,944582007,808351738,1,0,1,1,1
122,11,2,66,56,294835669,155644434,58,556756998,467107911,1,0,1,1,1
123,11,3,275,57,313713822,813450472,59,370942034,843775222,1,0,1,1,1
124,11,4,880,58,884462144,561500382,60,807944516,314127370,1,0,1,1,1
125,11,5,2277,59,972486305,384946245,61,1410572,64496854,1,0,1,1,1
126,11,6,4917,60,289060707,255871819,62,210217108,487328931,1,0,1,1,1
127,11,7,9042,61,428668789,369540531,63,22129109,172841826,1,0,1,1,1
128,11,8,14355,61,929257969,398735258,64,34966912,425747577,1,0,1,1,1
129,11,9,19855,62,515803934,937879174,64,363905656,701955448,1,0,1,1,1
130,11,10,24068,63,618095805,449739256,65,637495903,728957668,1,0,1,1,1
131,11,11,25653,63,522965385,364587822,66,735264615,132334499,1,0,1,1,1
132,11,12,24068,64,519814658,539557990,66,279931759,282137055,1,0,1,1,1
133,11,13,19855,64,320235370,323046729,67,701670649,547578223,1,0,1,1,1
134,11,14,14355,65,102285312,848874189,67,137561090,723396357,1,0,1,1,1
135,11,15,9042,65,786471255,87815000,68,145003433,871708313,1,0,1,1,1
136,11,16,4917,66,873012505,495619062,68,238147730,221132052,1,0,1,1,1
137,11,17,2277,66,965639624,48853763,69,908713973,882377153,1,0,1,1,1
138,11,18,880,66,860568744,514950900,69,333663387,249795471,1,0,1,1,1
139,11,19,275,66,527337074,304121749,69,887666132,734857329,1,0,1,1,1
140,11,20,66,66,412272793,678875427,69,307036736,733170900,1,0,1,1,1
141,11,21,11,66,360625142,454510515,69,959888632,173839880,1,0,1,1,1
142,11,22,1,66,541637408,265171805,69,694511287,409424431,1,0,1,1,1
143,12,0,1,58,953996442,907637934,60,538511595,708240082,1,0,1,1,1
144,12,1,12,60,267011080,765022221,62,235494353,982449326,1,0,1,1,1
145,12,2,78,61,257951225,369553832,63,635279272,462040279,1,0,1,1,1
146,12,3,352,62,225677494,935518530,64,315402086,388243298,1,0,1,1,1
147,12,4,1221,63,67674057,509314059,65,425923924,563802154,1,0,1,1,1
148,12,5,3432,64,789027247,756566845,66,614771601,843525954,1,0,1,1,1
