component_id,active_owner_count,owner_cell_count,raw_source_cell_count,raw_support_count,raw_coeff_sum,raw_source_cell_owner_positive_count,raw_support_owner_positive_count,raw_coeff_owner_positive_count,raw_support_mod_1000000007,raw_support_mod_1000000009,raw_coeff_mod_1000000007,raw_coeff_mod_1000000009
0,33,36560,9072,64320,90624,33,33,33,64320,64320,90624,90624
1,1,96023,17735,146050,270320,1,1,1,146050,146050,270320,270320
2,17,616656,109782,886221,1624896,17,17,17,886221,886221,1624896,1624896
