,unit,B-∧B+,B-∧V-,B-∧V+,B-∧S-,B-∧S+,B+∧V-,B+∧V+,B+∧S-,B+∧S+,V-∧V+,V-∧S-,V-∧S+,V+∧S-,V+∧S+,S-∧S+
unit,-79.06063817119916,-1.7763568394002505e-15,-1.1102230246251565e-16,-1.4802973661668753e-16,-1.1102230246251565e-16,-1.4802973661668753e-16,-1.1102230246251565e-16,-1.4802973661668753e-16,-1.1102230246251565e-16,-1.4802973661668753e-16,-1.7763568394002505e-15,-1.1102230246251565e-16,-1.4802973661668753e-16,-1.1102230246251565e-16,-1.4802973661668753e-16,-1.7763568394002505e-15
B-∧B+,3.552713678800501e-15,-3.133429388469509,-4.621411760219463e-18,-4.61689425116744e-18,-4.621411760219463e-18,-4.61689425116744e-18,4.621411760219463e-18,4.61689425116744e-18,4.621411760219463e-18,4.61689425116744e-18,-1.6940658945086007e-21,1.3552527156068805e-20,-9.03501810404587e-21,-1.3552527156068805e-20,9.03501810404587e-21,0.0
B-∧V-,1.4802973661668753e-16,1.807003620809174e-20,-0.22177282702288423,-2.168404344971009e-19,4.0657581468206416e-20,4.5175090520229353e-20,-2.8912057932946783e-19,-5.646886315028669e-22,4.0657581468206416e-20,4.5175090520229353e-20,0.0,-4.517509052022935e-21,-9.03501810404587e-21,-4.517509052022935e-21,-9.03501810404587e-21,-1.807003620809174e-20
B-∧V+,1.4802973661668753e-16,1.807003620809174e-20,-7.228014483236696e-20,-0.22177282702288423,4.0657581468206416e-20,4.5175090520229353e-20,-5.646886315028669e-22,-2.8912057932946783e-19,4.0657581468206416e-20,4.5175090520229353e-20,0.0,-4.0657581468206416e-20,-4.5175090520229353e-20,-4.517509052022935e-21,-9.03501810404587e-21,1.807003620809174e-20
B-∧S-,1.4802973661668753e-16,1.807003620809174e-20,1.807003620809174e-20,1.807003620809174e-20,-0.22177282702288423,-2.168404344971009e-19,1.807003620809174e-20,1.807003620809174e-20,-2.8912057932946783e-19,0.0,-1.807003620809174e-20,0.0,3.614007241618348e-20,0.0,3.614007241618348e-20,0.0
B-∧S+,1.4802973661668753e-16,1.807003620809174e-20,1.807003620809174e-20,1.807003620809174e-20,-7.228014483236696e-20,-0.22177282702288423,1.807003620809174e-20,1.807003620809174e-20,0.0,-2.8912057932946783e-19,1.807003620809174e-20,3.614007241618348e-20,0.0,3.614007241618348e-20,0.0,0.0
B+∧V-,1.4802973661668753e-16,-1.807003620809174e-20,-2.8912057932946783e-19,-5.646886315028669e-22,4.0657581468206416e-20,4.5175090520229353e-20,-0.22177282702288403,-2.168404344971009e-19,4.0657581468206416e-20,4.5175090520229353e-20,0.0,-4.517509052022935e-21,-9.03501810404587e-21,-4.517509052022935e-21,-9.03501810404587e-21,1.807003620809174e-20
B+∧V+,1.4802973661668753e-16,-1.807003620809174e-20,-5.646886315028669e-22,-2.8912057932946783e-19,4.0657581468206416e-20,4.5175090520229353e-20,-7.228014483236696e-20,-0.22177282702288403,4.0657581468206416e-20,4.5175090520229353e-20,0.0,-4.0657581468206416e-20,-4.5175090520229353e-20,-4.517509052022935e-21,-9.03501810404587e-21,-1.807003620809174e-20
B+∧S-,1.4802973661668753e-16,-1.807003620809174e-20,1.807003620809174e-20,1.807003620809174e-20,-2.8912057932946783e-19,0.0,1.807003620809174e-20,1.807003620809174e-20,-0.22177282702288403,-2.168404344971009e-19,1.807003620809174e-20,0.0,3.614007241618348e-20,0.0,3.614007241618348e-20,0.0
B+∧S+,1.4802973661668753e-16,-1.807003620809174e-20,1.807003620809174e-20,1.807003620809174e-20,0.0,-2.8912057932946783e-19,1.807003620809174e-20,1.807003620809174e-20,-7.228014483236696e-20,-0.22177282702288403,-1.807003620809174e-20,3.614007241618348e-20,0.0,3.614007241618348e-20,0.0,0.0
