prefix_class_id,edit_cost,unique_candidate_word_count,strong_closed_hit_count
0,0,1,0
0,1,36,0
0,2,597,0
0,3,6401,10
1,0,1,0
1,1,46,0
1,2,982,0
1,3,13243,14
