path_id,fiber_row_id,step_count,count_component0,count_component1,count_component2,signed_coeff_sum,signed_coeff_square_sum,dual_coeff_product_digits,dual_coeff_product_mod_1000000007,dual_coeff_product_mod_1000000009,dual_count_product_mod_1000000007,dual_count_product_mod_1000000009,dual_coeff_product_nonzero_flag,dual_count_product_nonzero_flag,dual_path_positive_flag,long_tens_gap_flag,existing_prof_flag
0,0,1,1,0,0,12,48,2,12,12,0,0,1,0,1,0,1
1,1,1,0,1,0,18,180,2,18,18,0,0,1,0,1,0,1
2,2,1,0,0,1,48,104,2,48,48,24,24,1,1,1,0,1
3,3,2,2,0,0,24,96,3,144,144,0,0,1,0,1,0,1
4,4,2,1,1,0,30,228,3,216,216,0,0,1,0,1,0,1
5,5,2,0,2,0,36,360,3,324,324,0,0,1,0,1,0,1
6,6,2,0,1,1,66,284,3,864,864,0,0,1,0,1,0,1
7,7,2,0,0,2,96,208,4,2304,2304,576,576,1,1,1,0,1
8,8,3,3,0,0,36,144,4,1728,1728,0,0,1,0,1,0,1
9,9,3,2,1,0,42,276,4,2592,2592,0,0,1,0,1,0,1
10,10,3,1,2,0,48,408,4,3888,3888,0,0,1,0,1,0,1
11,11,3,0,3,0,54,540,4,5832,5832,0,0,1,0,1,0,1
12,12,3,0,2,1,84,464,5,15552,15552,0,0,1,0,1,0,1
13,13,3,0,1,2,114,388,5,41472,41472,0,0,1,0,1,0,1
14,14,3,0,0,3,144,312,6,110592,110592,13824,13824,1,1,1,0,1
15,15,4,4,0,0,48,192,5,20736,20736,0,0,1,0,1,0,1
16,16,4,3,1,0,54,324,5,31104,31104,0,0,1,0,1,0,1
17,17,4,2,2,0,60,456,5,46656,46656,0,0,1,0,1,0,1
18,18,4,1,3,0,66,588,5,69984,69984,0,0,1,0,1,0,1
19,19,4,0,4,0,72,720,6,104976,104976,0,0,1,0,1,0,1
20,20,4,0,3,1,102,644,6,279936,279936,0,0,1,0,1,0,1
21,21,4,0,2,2,132,568,6,746496,746496,0,0,1,0,1,0,1
22,22,4,0,1,3,162,492,7,1990656,1990656,0,0,1,0,1,0,1
23,23,4,0,0,4,192,416,7,5308416,5308416,331776,331776,1,1,1,0,1
24,24,5,5,0,0,60,240,6,248832,248832,0,0,1,0,1,0,1
25,25,5,4,1,0,66,372,6,373248,373248,0,0,1,0,1,0,1
26,26,5,3,2,0,72,504,6,559872,559872,0,0,1,0,1,0,1
27,27,5,2,3,0,78,636,6,839808,839808,0,0,1,0,1,0,1
28,28,5,1,4,0,84,768,7,1259712,1259712,0,0,1,0,1,0,1
29,29,5,0,5,0,90,900,7,1889568,1889568,0,0,1,0,1,0,1
