edge_id,from_component_id,to_component_id,transition_count,zeta_both_count,dual_compose_count,signed_coeff_from,signed_coeff_to,signed_coeff_product,signed_coeff_product_sum,signed_coeff_product_mod_1000000007,signed_coeff_product_mod_1000000009,signed_coeff_delta_sum,chain_edge_flag,backward_edge_flag,skip_edge_flag
0,0,0,680,680,680,12,12,144,97920,97920,97920,0,1,0,0
1,0,1,120,120,120,12,18,216,25920,25920,25920,720,1,0,0
2,1,1,1240,1240,1240,18,18,324,401760,401760,401760,0,1,0,0
3,1,2,120,120,120,18,48,864,103680,103680,103680,3600,1,0,0
4,2,2,680,680,680,48,48,2304,1566720,1566720,1566720,0,1,0,0
