pair_id,face_id,label_mask,left_p5_id,right_p5_id,hpol_weight,f4_delta_sum,eta6_preserved_count,mirror_order_flag,p0_support,p1_support,p2_support,p3_support,p4_support,pair_support_spread,pair_mult_value
0,12,30,1,47,169,0,2,1,128930816,128930816,229639680,229639680,206383104,100708864,1550057472
1,22,45,57,79,529,0,2,1,898316288,898316288,784304128,784304128,808119296,114012160,3269984256
2,26,51,110,128,729,0,2,1,56582976,56582976,70261248,70261248,69820416,13678272,1056964608
