stage,k,distribution,signed_projection_count,mean,variance,fourth_moment,sixth_moment,max_unit_call_defect,argmax_threshold,critical_scale
C0_H8_oplus_3,1,-1:1;1:1,48,0.0,1.0,1.0,1.0,0.1010577195985673,0.0,0.7978845608048654
C0_H8_oplus_3,2,-2:1;0:2;2:1,1104,0.0,2.0,8.0,32.0,0.050596061105696255,0.95387255240894,0.8988078777906073
C0_H8_oplus_3,3,-3:1;-1:3;1:3;3:1,16192,0.0,3.0,21.0,183.0,0.059011701057329,0.0,0.9213177319248946
C0_H8_oplus_3,4,-4:1;-2:4;0:6;2:4;4:1,169344,0.0,4.0,40.0,544.0,0.04195139936224557,-0.977552822229339,0.9440648008516725
C0_H8_oplus_3,4,-4:1;0:6;4:1,336,0.0,4.0,64.0,1024.0,0.08829293965671292,-2.300698760752016,0.8234141206885741
C0_H8_oplus_3,4,-2:4;2:4,336,0.0,4.0,16.0,64.0,0.2021154391971346,0.0,0.7978845608038654
C0_H8_oplus_3,5,-5:1;-3:5;-1:10;1:10;3:5;5:1,1333248,0.0,5.0,65.0,1205.0,0.04543794192361439,0.0,0.9515328619492113
C0_H8_oplus_3,5,-5:1;-3:1;-1:6;1:6;3:1;5:1,13440,0.0,5.0,89.0,2045.0,0.039697513127900874,2.572259412395516,0.8800014801870324
C0_H8_oplus_3,5,-3:4;-1:4;1:4;3:4,13440,0.0,5.0,41.0,365.0,0.10793794192361439,0.0,0.8920620580773856
C1_neighbor_1,1,-1:1;1:1,48,0.0,1.0,1.0,1.0,0.1010577195985673,0.0,0.7978845608048654
C1_neighbor_1,2,-2:1;0:2;2:1,1104,0.0,2.0,8.0,32.0,0.050596061105696255,0.95387255240894,0.8988078777906073
C1_neighbor_1,3,-3:1;-1:3;1:3;3:1,16192,0.0,3.0,21.0,183.0,0.059011701057329,0.0,0.9213177319248946
C1_neighbor_1,4,-4:1;-2:4;0:6;2:4;4:1,169728,0.0,4.0,40.0,544.0,0.04195139936224557,-0.977552822229339,0.9440648008516725
C1_neighbor_1,4,-4:1;0:6;4:1,144,0.0,4.0,64.0,1024.0,0.08829293965671292,-2.300698760752016,0.8234141206885741
C1_neighbor_1,4,-2:4;2:4,144,0.0,4.0,16.0,64.0,0.2021154391971346,0.0,0.7978845608038654
C1_neighbor_1,5,-5:1;-3:5;-1:10;1:10;3:5;5:1,1348608,0.0,5.0,65.0,1205.0,0.04543794192361439,0.0,0.9515328619492113
C1_neighbor_1,5,-5:1;-3:1;-1:6;1:6;3:1;5:1,5760,0.0,5.0,89.0,2045.0,0.039697513127900874,2.572259412395516,0.8800014801870324
C1_neighbor_1,5,-3:4;-1:4;1:4;3:4,5760,0.0,5.0,41.0,365.0,0.10793794192361439,0.0,0.8920620580773856
C2_neighbor_2,1,-1:1;1:1,48,0.0,1.0,1.0,1.0,0.1010577195985673,0.0,0.7978845608048654
C2_neighbor_2,2,-2:1;0:2;2:1,1104,0.0,2.0,8.0,32.0,0.050596061105696255,0.95387255240894,0.8988078777906073
C2_neighbor_2,3,-3:1;-1:3;1:3;3:1,16192,0.0,3.0,21.0,183.0,0.059011701057329,0.0,0.9213177319248946
C2_neighbor_2,4,-4:1;-2:4;0:6;2:4;4:1,169920,0.0,4.0,40.0,544.0,0.04195139936224557,-0.977552822229339,0.9440648008516725
C2_neighbor_2,4,-4:1;0:6;4:1,48,0.0,4.0,64.0,1024.0,0.08829293965671292,-2.300698760752016,0.8234141206885741
C2_neighbor_2,4,-2:4;2:4,48,0.0,4.0,16.0,64.0,0.2021154391971346,0.0,0.7978845608038654
C2_neighbor_2,5,-5:1;-3:5;-1:10;1:10;3:5;5:1,1356288,0.0,5.0,65.0,1205.0,0.04543794192361439,0.0,0.9515328619492113
C2_neighbor_2,5,-5:1;-3:1;-1:6;1:6;3:1;5:1,1920,0.0,5.0,89.0,2045.0,0.039697513127900874,2.572259412395516,0.8800014801870324
C2_neighbor_2,5,-3:4;-1:4;1:4;3:4,1920,0.0,5.0,41.0,365.0,0.10793794192361439,0.0,0.8920620580773856
C3_Golay_endpoint,1,-1:1;1:1,48,0.0,1.0,1.0,1.0,0.1010577195985673,0.0,0.7978845608048654
C3_Golay_endpoint,2,-2:1;0:2;2:1,1104,0.0,2.0,8.0,32.0,0.050596061105696255,0.95387255240894,0.8988078777906073
C3_Golay_endpoint,3,-3:1;-1:3;1:3;3:1,16192,0.0,3.0,21.0,183.0,0.059011701057329,0.0,0.9213177319248946
C3_Golay_endpoint,4,-4:1;-2:4;0:6;2:4;4:1,170016,0.0,4.0,40.0,544.0,0.04195139936224557,-0.977552822229339,0.9440648008516725
C3_Golay_endpoint,5,-5:1;-3:5;-1:10;1:10;3:5;5:1,1360128,0.0,5.0,65.0,1205.0,0.04543794192361439,0.0,0.9515328619492113
