atom_contact_id,cell_edge_id,source_carrier_mask_class_id,target_carrier_mask_class_id,source_carrier_atom_mask,target_carrier_atom_mask,shared_atom_id,shared_symbol_id,shared_symbol_bitset,symbol_sector_mask,symbol_signature_class_count,x2_atom_witness_flag,x5_atom_cowitness_flag
0,14,3,12,146,526464,7,2,4,25,97,1,0
1,39,10,12,524416,526464,7,2,4,25,97,1,0
2,39,10,12,524416,526464,19,5,32,56,97,0,1
3,41,11,12,524434,526464,7,2,4,25,97,1,0
4,41,11,12,524434,526464,19,5,32,56,97,0,1
