first_contact_edge_id,candidate_count,geodesic_candidate_count,pareto_candidate_count,dominated_candidate_count,source_carrier_mask_class_id,target_carrier_mask_class_id,shared_atom_count,shared_symbol_count,x2_atom_witness_count,x5_atom_cowitness_count,shared_atom_bitset,shared_symbol_bitset,carrier_mask_pure_x2_flag,carrier_mask_mixed_x2_x5_flag,atom_level_x2_witness_flag,requires_atom_selector_flag,ambiguity_intrinsic_in_carrier_quotient_flag
14,2,0,1,1,3,12,1,1,1,0,128,4,1,0,1,0,0
39,3,3,3,0,10,12,2,2,1,1,524416,36,0,1,1,1,1
41,5,3,3,2,11,12,2,2,1,1,524416,36,0,1,1,1,1
