projector_column,support_name,legacy_support,raw_support,transported_legacy_support,legacy_sector_count,matrix_unit_rows,diagonal_terms,nonzero_coefficients,equals_central_page_sum,projector_sha256
0,unit_top_all_39,"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39}","{0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38}","{0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38}",39,985,159,6,True,1f18b7a0b2d698271931f23c24a1d26e6df2664235b9af70f975fd73e2ff15b9
1,zero,{},{},{},0,0,0,0,True,046ae517ce1d0df1935c53aa0a42693bb7eec269cb0a1534e883a114d451c695
2,Pi33,{33},{19},{33},1,4,2,56,True,a5f6a3e9b79171c175b2228b0a1fe3c117e8dac723001dbe1d669da3a165f80f
3,pure_Sminus_doublet_25_26,"{25,26}","{30,29}","{25,26}",2,2,2,14,True,c05138b75b4da1924b84fef9c3c15b34cfbba2410a2cefcd0697c8d17e5acdc6
4,mixed_S_channel_6_26,"{6,26}","{9,29}","{6,26}",2,5,3,60,True,e24270e26e098e252a4ca1004d2bdee82c815c9dab25ab60227b8d23ad91e771
5,Pi33_plus_pure_Sminus_doublet,"{25,26,33}","{30,29,19}","{25,26,33}",3,6,4,70,True,4347b77e241ae25eecc970c7ccb5e394905153c85f970873ec9ab67375bc2741
6,Pi33_plus_mixed_S_channel,"{6,26,33}","{9,29,19}","{6,26,33}",3,9,5,72,True,294a21eb1d82617df4c6b644ba51f94abeb4f0a83e8c4357f5247396c572cb4e
