observable_id,observable_code,value
0,0,36
1,1,35
2,2,1
3,3,20
4,4,19
5,5,1
6,6,1
7,7,36
8,8,1
9,9,20
10,10,20
11,11,36
12,12,20
13,13,0
14,14,38
15,15,642
16,16,642
17,17,642
18,18,642
19,19,32
20,20,20
21,21,2
22,22,1
23,23,0
24,24,0
25,25,0
26,26,4
27,27,0
